5.527676820755005:	state;	x,	-71.42084524864897|	vy,	-0.0784301356899|	ang v,	1.12510455661|	vx,	0.400211981747|	angle,	2.91244025324|	y,	42.42731327510341|	timestamp,	4.972637891769409
5.531409502029419:	imu;	yaw,	4.581489562988281
5.555217027664185:	imu;	yaw,	4.582580089569092
5.555833101272583:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
5.562941789627075:	imu;	yaw,	4.5836710929870605
5.568954706192017:	encoder;	counts,	-4
5.572383880615234:	imu;	yaw,	4.584762096405029
5.589958667755127:	state;	x,	-71.42084564423004|	vy,	-0.11059933107|	ang v,	1.24773153684|	vx,	0.793047420534|	angle,	2.96932566768|	y,	42.42731405559624|	timestamp,	5.036310911178589
5.61607813835144:	imu;	yaw,	4.586943626403809
5.616844177246094:	imu;	yaw,	4.590216159820557
5.6211020946502686:	imu;	yaw,	4.593488693237305
5.629218339920044:	imu;	yaw,	4.596761226654053
5.645404577255249:	state;	x,	-71.42084562643274|	vy,	0.165432212385|	ang v,	1.14036161111|	vx,	1.06910502597|	angle,	3.04574576689|	y,	42.42731459958922|	timestamp,	5.092657089233398
5.647049188613892:	imu;	yaw,	4.600033760070801
5.649742841720581:	imu;	yaw,	4.604396820068359
5.678630590438843:	imu;	yaw,	4.608760356903076
5.679209232330322:	encoder;	counts,	-5
5.679688453674316:	imu;	yaw,	4.616395950317383
5.69188380241394:	imu;	yaw,	4.619668483734131
5.699091672897339:	imu;	yaw,	4.622941017150879
5.709810256958008:	imu;	yaw,	4.625122547149658
5.715996026992798:	state;	x,	-71.4208456522547|	vy,	0.0101310010701|	ang v,	0.926385874023|	vx,	0.415244398137|	angle,	3.12020674454|	y,	42.42731533362068|	timestamp,	5.162049055099487
5.717855453491211:	imu;	yaw,	4.627304553985596
5.740542650222778:	imu;	yaw,	4.630577087402344
5.741604328155518:	imu;	yaw,	4.633849620819092
5.7577269077301025:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
5.76262640953064:	encoder;	counts,	-6
5.768787860870361:	imu;	yaw,	4.642576217651367
5.77939248085022:	imu;	yaw,	4.6447577476501465
5.788650035858154:	imu;	yaw,	4.645848751068115
5.797099590301514:	state;	x,	-71.42084591466484|	vy,	0.0430460462584|	ang v,	1.13914677354|	vx,	0.774148948466|	angle,	3.1710936684|	y,	42.42731620001543|	timestamp,	5.234799385070801
5.800475835800171:	imu;	yaw,	4.6480302810668945
5.810353755950928:	imu;	yaw,	4.651302337646484
5.833210706710815:	imu;	yaw,	4.654574871063232
5.834022760391235:	encoder;	counts,	-7
5.836884021759033:	imu;	yaw,	4.656756401062012
5.841461181640625:	imu;	yaw,	4.658938407897949
5.849907398223877:	imu;	yaw,	4.6611199378967285
5.860501766204834:	imu;	yaw,	4.663301467895508
5.8694212436676025:	imu;	yaw,	4.664392471313477
5.874372243881226:	state;	x,	-71.4208458137017|	vy,	0.0946190217511|	ang v,	1.01880257256|	vx,	0.615851185995|	angle,	3.25998094459|	y,	42.42731703659437|	timestamp,	5.317134857177734
5.9078593254089355:	imu;	yaw,	4.665483474731445
5.9085447788238525:	encoder;	counts,	-8
5.914749622344971:	imu;	yaw,	4.667665004730225
5.919498682022095:	imu;	yaw,	4.672028064727783
5.9323410987854:	imu;	yaw,	4.6763916015625
5.937701940536499:	state;	x,	-71.42084580798414|	vy,	0.153439878201|	ang v,	1.1591323635|	vx,	0.703009180664|	angle,	3.30802273714|	y,	42.42731775262019|	timestamp,	5.382911443710327
5.940746068954468:	imu;	yaw,	4.679664134979248
5.973283767700195:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
5.97439980506897:	imu;	yaw,	4.685118198394775
5.975026845932007:	imu;	yaw,	4.689481735229492
5.9757280349731445:	imu;	yaw,	4.6916632652282715
5.984894752502441:	imu;	yaw,	4.693844795227051
5.98743462562561:	encoder;	counts,	-9
6.002940654754639:	imu;	yaw,	4.696026802062988
6.011586904525757:	checkpoint;	num,	0|	lat,	42.427330017089844|	long,	-71.4208755493164
6.014890670776367:	imu;	yaw,	4.699299335479736
6.018994092941284:	state;	x,	-71.42084597641622|	vy,	0.160638978653|	ang v,	1.01422522358|	vx,	0.636292874395|	angle,	3.34833500712|	y,	42.427318649774335|	timestamp,	5.462254285812378
6.021218299865723:	imu;	yaw,	4.702571392059326
6.0217204093933105:	imu;	yaw,	4.705843925476074
6.051507472991943:	imu;	yaw,	4.706934928894043
6.051929235458374:	imu;	yaw,	4.710207462310791
6.052317380905151:	imu;	yaw,	4.713479995727539
6.058281898498535:	imu;	yaw,	4.716752529144287
6.067769289016724:	encoder;	counts,	-10
6.074302911758423:	imu;	yaw,	4.717843055725098
6.07511568069458:	servo;	-21
6.087005138397217:	state;	x,	-71.42084597808287|	vy,	0.219683139961|	ang v,	1.02849787003|	vx,	0.678227725948|	angle,	3.39598587156|	y,	42.427319387625104|	timestamp,	5.5321266651153564
6.093388557434082:	imu;	yaw,	4.720025062561035
6.09734320640564:	servo;	-20
6.098816156387329:	imu;	yaw,	4.723297595977783
6.122935056686401:	imu;	yaw,	4.726570129394531
6.123703479766846:	imu;	yaw,	4.73093318939209
6.124854803085327:	servo;	-19
6.130939722061157:	imu;	yaw,	4.735296726226807
6.132126569747925:	servo;	-18
6.139674425125122:	imu;	yaw,	4.738569259643555
6.142314434051514:	servo;	-17
6.14715838432312:	servo;	-16
6.152398109436035:	state;	x,	-71.42084572014181|	vy,	0.604136273013|	ang v,	0.648766423875|	vx,	1.06267982751|	angle,	3.42709540152|	y,	42.42732003910303|	timestamp,	5.598794460296631
6.154695510864258:	servo;	-17
6.157581329345703:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
6.160118579864502:	servo;	-16
6.164382219314575:	encoder;	counts,	-11
6.190910577774048:	imu;	yaw,	4.749477386474609
6.191514015197754:	imu;	yaw,	4.752749919891357
6.193927049636841:	imu;	yaw,	4.757113456726074
6.199662923812866:	servo;	-15
6.202824115753174:	imu;	yaw,	4.761476516723633
6.219695806503296:	imu;	yaw,	4.76693058013916
6.2208991050720215:	servo;	-14
6.22425651550293:	state;	x,	-71.42084599789266|	vy,	0.116458245489|	ang v,	0.391741699529|	vx,	0.368438743801|	angle,	3.37602813941|	y,	42.427320823035664|	timestamp,	5.667272090911865
6.227496385574341:	imu;	yaw,	4.773475646972656
6.228202819824219:	encoder;	counts,	-12
6.230298042297363:	servo;	-12
6.254188060760498:	imu;	yaw,	4.776748180389404
6.260190725326538:	imu;	yaw,	4.780020713806152
6.2607879638671875:	imu;	yaw,	4.782202243804932
6.261396408081055:	imu;	yaw,	4.783292770385742
6.263577699661255:	servo;	-11
6.27105188369751:	imu;	yaw,	4.784383773803711
6.285238027572632:	state;	x,	-71.42084604980693|	vy,	0.201634808964|	ang v,	0.207704635607|	vx,	0.761234198805|	angle,	3.33602138063|	y,	42.427321499708135|	timestamp,	5.7324395179748535
6.292534112930298:	servo;	-10
6.294236898422241:	imu;	yaw,	4.78656530380249
6.317036867141724:	imu;	yaw,	4.788747310638428
6.317872524261475:	encoder;	counts,	-13
6.318570375442505:	imu;	yaw,	4.792019844055176
6.326704263687134:	imu;	yaw,	4.794201374053955
6.327946424484253:	servo;	-9
6.330994129180908:	imu;	yaw,	4.796382904052734
6.341704368591309:	imu;	yaw,	4.797473907470703
6.3506693840026855:	state;	x,	-71.42084609603164|	vy,	0.179241842539|	ang v,	0.213155686367|	vx,	0.858948797122|	angle,	3.28723786477|	y,	42.42732213742033|	timestamp,	5.794290781021118
6.351790189743042:	servo;	-8
6.3556764125823975:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
6.362703800201416:	servo;	-7
6.386108160018921:	encoder;	counts,	-14
6.387082576751709:	imu;	yaw,	4.798564434051514
6.38881254196167:	imu;	yaw,	4.799655437469482
6.392176866531372:	servo;	-6
6.396183252334595:	imu;	yaw,	4.8029279708862305
6.4013683795928955:	imu;	yaw,	4.804018974304199
6.407774209976196:	servo;	-5
6.418752908706665:	state;	x,	-71.42084637643643|	vy,	0.0871807192107|	ang v,	0.106634627893|	vx,	0.688556861576|	angle,	3.2043739918|	y,	42.427322875173935|	timestamp,	5.865110635757446
6.420404434204102:	imu;	yaw,	4.80510950088501
6.4243388175964355:	imu;	yaw,	4.8062005043029785
6.426924467086792:	servo;	-4
6.4279868602752686:	imu;	yaw,	4.807291507720947
6.453117370605469:	imu;	yaw,	4.8062005043029785
6.454369306564331:	encoder;	counts,	-15
6.473532676696777:	imu;	yaw,	4.807291507720947
6.479156255722046:	state;	x,	-71.42084648665036|	vy,	0.0499533054757|	ang v,	0.117845337685|	vx,	0.840906235278|	angle,	3.14297074519|	y,	42.42732348048297|	timestamp,	5.926449775695801
6.489377737045288:	imu;	yaw,	4.8062005043029785
6.517778635025024:	imu;	yaw,	4.80510950088501
6.51847767829895:	encoder;	counts,	-16
6.523669719696045:	imu;	yaw,	4.804018974304199
6.542393207550049:	imu;	yaw,	4.8029279708862305
6.549449682235718:	state;	x,	-71.42084646812633|	vy,	0.00265490491784|	ang v,	0.180526265055|	vx,	0.747735176707|	angle,	3.08887226052|	y,	42.42732413636347|	timestamp,	5.995600938796997
6.557746887207031:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
6.5857789516448975:	imu;	yaw,	4.800746440887451
6.586231708526611:	imu;	yaw,	4.799655437469482
6.589257717132568:	encoder;	counts,	-17
6.599667549133301:	imu;	yaw,	4.798564434051514
6.6091837882995605:	imu;	yaw,	4.797473907470703
6.619532108306885:	imu;	yaw,	4.796382904052734
6.628771781921387:	imu;	yaw,	4.797473907470703
6.6394736766815186:	state;	x,	-71.42084662021553|	vy,	-0.0433395469069|	ang v,	0.235697370371|	vx,	0.643867059655|	angle,	3.02261120899|	y,	42.42732491623319|	timestamp,	6.080332279205322
6.650176525115967:	encoder;	counts,	-18
6.654237985610962:	imu;	yaw,	4.798564434051514
6.679814338684082:	imu;	yaw,	4.799655437469482
6.688869953155518:	imu;	yaw,	4.798564434051514
6.702084541320801:	imu;	yaw,	4.797473907470703
6.714524030685425:	state;	x,	-71.42084659992418|	vy,	-0.0694643963403|	ang v,	0.157177256777|	vx,	0.637703034422|	angle,	2.98060068844|	y,	42.427325567047255|	timestamp,	6.154897212982178
6.716699600219727:	encoder;	counts,	-19
6.717195749282837:	imu;	yaw,	4.794201374053955
6.745794057846069:	imu;	yaw,	4.792019844055176
6.7520833015441895:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
6.755612850189209:	imu;	yaw,	4.78656530380249
6.759566783905029:	servo;	-5
6.768714904785156:	imu;	yaw,	4.782202243804932
6.770731210708618:	servo;	-6
6.780925989151001:	encoder;	counts,	-20
6.781408309936523:	imu;	yaw,	4.778929710388184
6.7895731925964355:	state;	x,	-71.42084684805303|	vy,	-0.114544604798|	ang v,	0.433087108717|	vx,	0.676053527997|	angle,	2.92902474201|	y,	42.42732624433349|	timestamp,	6.234650135040283
6.81983494758606:	imu;	yaw,	4.780020713806152
6.8204286098480225:	imu;	yaw,	4.778929710388184
6.824860334396362:	imu;	yaw,	4.777838706970215
6.828718423843384:	imu;	yaw,	4.7756571769714355
6.8386170864105225:	encoder;	counts,	-21
6.846775531768799:	state;	x,	-71.42084705671034|	vy,	-0.335552492265|	ang v,	0.410866432863|	vx,	1.6179888189|	angle,	2.9003316485|	y,	42.42732670941057|	timestamp,	6.291366100311279
6.849496841430664:	imu;	yaw,	4.773475646972656
6.878032684326172:	imu;	yaw,	4.7756571769714355
6.879429817199707:	imu;	yaw,	4.776748180389404
6.885728120803833:	imu;	yaw,	4.774566173553467
6.8894617557525635:	imu;	yaw,	4.7756571769714355
6.895991563796997:	servo;	-7
6.905553579330444:	state;	x,	-71.42084718888466|	vy,	0.008056563086|	ang v,	0.29966478868|	vx,	0.00819616378503|	angle,	2.87612162199|	y,	42.42732720910069|	timestamp,	6.35232400894165
6.9082725048065186:	encoder;	counts,	-22
6.9380269050598145:	imu;	yaw,	4.773475646972656
6.939382076263428:	imu;	yaw,	4.771293640136719
6.94447135925293:	imu;	yaw,	4.770203113555908
6.94999098777771:	imu;	yaw,	4.768021583557129
6.963097095489502:	encoder;	counts,	-23
6.973820209503174:	state;	x,	-71.42084726861145|	vy,	-0.200644622712|	ang v,	0.4263289238|	vx,	0.808715122772|	angle,	2.85961411837|	y,	42.42732770308517|	timestamp,	6.415397644042969
6.9772422313690186:	imu;	yaw,	4.764749050140381
7.003356218338013:	servo;	-8
7.004537105560303:	imu;	yaw,	4.76584005355835
