-1:	dummy;	3.4.0	1.8.4	0	1	0	0
0.19387197494506836:	dummy;	0.14658	8	-20	80
0.2507040500640869:	time lag;	0.19387	0.14658
0.19387602806091309:	dummy;	0.147532	8	-21	82
0.2507481575012207:	time lag;	0.19388	0.14753
0.1938798427581787:	dummy;	0.148472	8	-22	84
0.250791072845459:	time lag;	0.19388	0.14847
0.19388484954833984:	dummy;	0.149421	8	-23	86
0.25083398818969727:	time lag;	0.19388	0.14942
0.19389081001281738:	dummy;	0.150366	8	-24	88
0.25087594985961914:	time lag;	0.19389	0.15037
0.19389581680297852:	dummy;	0.151322	8	-24	88
0.2509181499481201:	time lag;	0.19390	0.15132
0.19463300704956055:	dummy;	0.152279	8	-24	88
0.250960111618042:	time lag;	0.19463	0.15228
0.1946399211883545:	dummy;	0.153235	8	-24	88
0.25100207328796387:	time lag;	0.19464	0.15324
0.19464397430419922:	dummy;	0.154193	8	-24	88
0.2510509490966797:	time lag;	0.19464	0.15419
0.19464683532714844:	dummy;	0.155132	8	-24	88
0.2510960102081299:	time lag;	0.19465	0.15513
0.19464993476867676:	dummy;	0.15609	8	-24	88
0.25113916397094727:	time lag;	0.19465	0.15609
0.19465303421020508:	dummy;	0.157045	8	-24	88
0.25118112564086914:	time lag;	0.19465	0.15704
0.1946568489074707:	dummy;	0.158002	8	-24	88
0.2512240409851074:	time lag;	0.19466	0.15800
0.19466185569763184:	dummy;	0.158958	8	-24	88
0.2512660026550293:	time lag;	0.19466	0.15896
0.19466590881347656:	dummy;	0.159916	8	-24	88
0.25130796432495117:	time lag;	0.19467	0.15992
0.1946709156036377:	dummy;	0.160872	8	-24	88
0.25135016441345215:	time lag;	0.19467	0.16087
0.1950089931488037:	dummy;	0.16183	8	-24	88
0.251392126083374:	time lag;	0.19501	0.16183
0.1950209140777588:	dummy;	0.162786	8	-24	88
0.2514331340789795:	time lag;	0.19502	0.16279
0.19503998756408691:	dummy;	0.163744	8	-22	87
0.25153613090515137:	time lag;	0.19504	0.16374
0.19504284858703613:	dummy;	0.164701	8	-20	86
0.25159406661987305:	time lag;	0.19504	0.16470
0.19504594802856445:	dummy;	0.165659	8	-18	85
0.2516450881958008:	time lag;	0.19505	0.16566
0.19506192207336426:	dummy;	0.166615	8	-16	84
0.2516920566558838:	time lag;	0.19506	0.16662
0.19506597518920898:	dummy;	0.167574	8	-16	84
0.2517399787902832:	time lag;	0.19507	0.16757
0.19508099555969238:	dummy;	0.168526	8	-16	84
0.25182008743286133:	time lag;	0.19508	0.16853
0.1950838565826416:	dummy;	0.169468	8	-16	84
0.2518739700317383:	time lag;	0.19508	0.16947
0.19508886337280273:	dummy;	0.17042	8	-16	84
0.2519211769104004:	time lag;	0.19509	0.17042
0.19509387016296387:	dummy;	0.171364	8	-16	84
0.2519659996032715:	time lag;	0.19509	0.17136
0.1950969696044922:	dummy;	0.17232	8	-16	84
0.2520110607147217:	time lag;	0.19510	0.17232
0.1950998306274414:	dummy;	0.173277	8	-16	84
0.2520561218261719:	time lag;	0.19510	0.17328
0.19547796249389648:	dummy;	0.174232	8	-16	84
0.25209999084472656:	time lag;	0.19548	0.17423
0.19551897048950195:	dummy;	0.17519	8	-16	84
0.25214409828186035:	time lag;	0.19552	0.17519
0.1955280303955078:	dummy;	0.176129	8	-16	84
0.25218796730041504:	time lag;	0.19553	0.17613
0.19553399085998535:	dummy;	0.177087	8	-16	84
0.25223207473754883:	time lag;	0.19553	0.17709
0.19553899765014648:	dummy;	0.178043	8	-16	84
0.2522749900817871:	time lag;	0.19554	0.17804
0.1955428123474121:	dummy;	0.179001	8	-17	85
0.2523190975189209:	time lag;	0.19554	0.17900
0.19554686546325684:	dummy;	0.179957	8	-18	86
0.2523620128631592:	time lag;	0.19555	0.17996
0.19555187225341797:	dummy;	0.180915	8	-19	87
0.2524070739746094:	time lag;	0.19555	0.18091
0.1955568790435791:	dummy;	0.181872	8	-20	88
0.25244998931884766:	time lag;	0.19556	0.18187
0.19558286666870117:	dummy;	0.182829	8	-20	88
0.25249314308166504:	time lag;	0.19558	0.18283
0.19559097290039062:	dummy;	0.183786	8	-20	88
0.2525370121002197:	time lag;	0.19559	0.18379
0.19559502601623535:	dummy;	0.184744	8	-20	88
0.2525801658630371:	time lag;	0.19560	0.18474
0.19559884071350098:	dummy;	0.185701	8	-20	88
0.2526240348815918:	time lag;	0.19560	0.18570
0.19560503959655762:	dummy;	0.186659	8	-20	88
0.2526669502258301:	time lag;	0.19561	0.18666
0.19560980796813965:	dummy;	0.187615	8	-20	88
0.25272202491760254:	time lag;	0.19561	0.18762
0.19561481475830078:	dummy;	0.188574	8	-20	88
0.252763032913208:	time lag;	0.19561	0.18857
0.1956329345703125:	dummy;	0.189526	8	-20	88
0.25280213356018066:	time lag;	0.19563	0.18953
0.19599390029907227:	dummy;	0.190467	8	-20	88
0.2528419494628906:	time lag;	0.19599	0.19047
0.19600296020507812:	dummy;	0.191419	8	-20	88
0.2528810501098633:	time lag;	0.19600	0.19142
0.19600796699523926:	dummy;	0.192364	8	-20	88
0.25292110443115234:	time lag;	0.19601	0.19236
0.19602680206298828:	dummy;	0.19332	8	-20	88
0.2529599666595459:	time lag;	0.19603	0.19332
0.19603300094604492:	dummy;	0.194276	8	-20	88
0.25300002098083496:	time lag;	0.19603	0.19428
0.19603896141052246:	dummy;	0.195232	9	-20	87
0.2530391216278076:	time lag;	0.19604	0.19523
0.1960439682006836:	dummy;	0.19619	10	-20	86
0.2530791759490967:	time lag;	0.19604	0.19619
0.19604897499084473:	dummy;	0.19713	11	-20	85
0.25311899185180664:	time lag;	0.19605	0.19713
0.19605398178100586:	dummy;	0.198088	12	-20	84
0.2531580924987793:	time lag;	0.19605	0.19809
0.196058988571167:	dummy;	0.199045	12	-20	84
0.25319814682006836:	time lag;	0.19606	0.19904
0.1960740089416504:	dummy;	0.200002	12	-20	84
0.2532370090484619:	time lag;	0.19607	0.20000
0.19607782363891602:	dummy;	0.200959	12	-20	84
0.253277063369751:	time lag;	0.19608	0.20096
0.19646596908569336:	dummy;	0.201918	12	-20	84
0.25331616401672363:	time lag;	0.19647	0.20192
0.19724702835083008:	dummy;	0.202875	12	-20	84
0.2533550262451172:	time lag;	0.19725	0.20287
0.1983168125152588:	dummy;	0.203834	12	-20	84
0.25339508056640625:	time lag;	0.19832	0.20383
0.1993260383605957:	dummy;	0.204791	12	-20	84
0.2534351348876953:	time lag;	0.19933	0.20479
0.20159697532653809:	dummy;	0.205751	12	-20	84
0.25347399711608887:	time lag;	0.20160	0.20575
0.20161080360412598:	dummy;	0.206708	12	-20	84
0.2535130977630615:	time lag;	0.20161	0.20671
0.2016148567199707:	dummy;	0.207666	12	-20	84
0.2535519599914551:	time lag;	0.20161	0.20767
0.20265793800354004:	dummy;	0.208624	12	-20	84
0.25359201431274414:	time lag;	0.20266	0.20862
0.2026679515838623:	dummy;	0.209583	12	-20	84
0.2536311149597168:	time lag;	0.20267	0.20958
0.20379400253295898:	dummy;	0.210541	11	-20	84
0.25366997718811035:	time lag;	0.20379	0.21054
0.20485281944274902:	dummy;	0.211496	10	-20	84
0.2537100315093994:	time lag;	0.20485	0.21150
0.20592284202575684:	dummy;	0.212439	9	-20	84
0.25374913215637207:	time lag;	0.20592	0.21244
0.2071688175201416:	dummy;	0.213384	8	-20	84
0.2537879943847656:	time lag;	0.20717	0.21338
0.20829391479492188:	dummy;	0.214341	8	-20	84
0.2538280487060547:	time lag;	0.20829	0.21434
0.2093949317932129:	dummy;	0.215298	8	-20	84
0.25386714935302734:	time lag;	0.20939	0.21530
0.250964879989624:	dummy;	0.216254	8	-20	84
0.30934810638427734:	time lag;	0.25096	0.21625
