17.39182472229004:	gps;	long,	-79.95038604736328|	lat,	40.447261810302734|	fix,	True
17.403305768966675:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
17.412761688232422:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
17.5933575630188:	gps;	long,	-79.95038604736328|	lat,	40.447261810302734|	fix,	True
17.70119881629944:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
17.79147434234619:	gps;	long,	-79.95038604736328|	lat,	40.447261810302734|	fix,	True
17.992608785629272:	gps;	long,	-79.95040130615234|	lat,	40.4472541809082|	fix,	True
18.020790100097656:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
18.192030429840088:	gps;	long,	-79.95040130615234|	lat,	40.4472541809082|	fix,	True
18.391497373580933:	gps;	long,	-79.95040130615234|	lat,	40.4472541809082|	fix,	True
18.56076431274414:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
18.59172248840332:	gps;	long,	-79.95040130615234|	lat,	40.4472541809082|	fix,	True
18.79168963432312:	gps;	long,	-79.95040130615234|	lat,	40.4472541809082|	fix,	True
19.49261999130249:	gps;	long,	-79.95040130615234|	lat,	40.4472541809082|	fix,	True
19.5030517578125:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
19.510443687438965:	gps;	long,	-79.95040130615234|	lat,	40.4472541809082|	fix,	True
19.548548221588135:	motors;	0
