2.5149083137512207:	blue_led;	116
2.5365352630615234:	motors;	45
2.5402705669403076:	controller;	angle_command,	-0.692804376832|	speed_command,	1.0
2.5403335094451904:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.5427041053771973:	blue_led;	154
2.5470452308654785:	motors;	60
2.5560717582702637:	blue_led;	191
2.567039966583252:	motors;	75
2.569650888442993:	controller;	angle_command,	-0.692804376832|	speed_command,	1.0
2.5697062015533447:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.5717718601226807:	blue_led;	228
2.576430082321167:	motors;	89
2.586188316345215:	blue_led;	255
2.592384099960327:	motors;	100
2.6026904582977295:	controller;	angle_command,	-0.692804376832|	speed_command,	1.0
2.602747678756714:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.606997013092041:	state;	angle,	1.28024066236|	vx,	0.134097437131|	x m,	-1.18396464667|	x,	-71.42085242843638|	ang v,	0.0|	y,	42.42730170922571|	vy,	0.134097437131|	y m,	0.828984545713
2.6073968410491943:	gps;	long,	-71.42079162597656|	lat,	42.42731857299805|	fix,	True
2.63698410987854:	controller;	angle_command,	-0.693109976084|	speed_command,	1.0
2.6370508670806885:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.640875816345215:	imu;	yaw,	-5.003641128540039
2.6475319862365723:	imu;	yaw,	-5.00145959854126
2.670501947402954:	controller;	angle_command,	0.186187461699|	speed_command,	1.0
2.6705574989318848:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.6718108654022217:	imu;	yaw,	-4.999277591705322
2.6779234409332275:	imu;	yaw,	-4.998187065124512
2.7006101608276367:	controller;	angle_command,	0.18377617246|	speed_command,	1.0
2.70068359375:	waypoints;	goal_x,	-71.42080993386642|	goal_y,	42.427329760992336
2.7104623317718506:	imu;	yaw,	-4.999277591705322
2.733243465423584:	controller;	angle_command,	0.181377901471|	speed_command,	1.0
2.733302354812622:	waypoints;	goal_x,	-71.42080993386642|	goal_y,	42.427329760992336
2.7359719276428223:	imu;	yaw,	-5.000368595123291
2.7416563034057617:	imu;	yaw,	-5.00145959854126
2.755861759185791:	state;	angle,	0.401748754613|	vx,	0.0251226947981|	x m,	-1.06720859249|	x,	-71.42085052821436|	ang v,	-0.0727117990515|	y,	42.427302758941764|	vy,	0.015265142958|	y m,	0.984992582662
2.7562735080718994:	encoder;	counts,	1
2.7669246196746826:	controller;	angle_command,	0.184528803328|	speed_command,	1.0
2.7669858932495117:	waypoints;	goal_x,	-71.42080993386642|	goal_y,	42.427329760992336
2.771432638168335:	imu;	yaw,	-5.003641128540039
2.7753734588623047:	imu;	yaw,	-5.004732131958008
2.7969765663146973:	controller;	angle_command,	0.189670681897|	speed_command,	1.0
