3.7488656044006348:	state;	y,	42.4273025188315|	ang v,	0.0364183613219|	vy,	0.0|	x m,	-1.09391519795|	vx,	0.0|	x,	-71.42085331847213|	angle,	4.31298103653|	y m,	0.755912681788
3.749333143234253:	imu;	yaw,	-4.715661525726318
3.892263174057007:	state;	y,	42.427302596807095|	ang v,	0.0835509080139|	vy,	0.0|	x m,	-1.08524226155|	vx,	0.0|	x,	-71.42085330780095|	angle,	4.31300124185|	y m,	0.756788783258
3.89300799369812:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
3.9567062854766846:	state;	y,	42.42730267191445|	ang v,	0.0346762632303|	vy,	0.0|	x m,	-1.07688834732|	vx,	0.0|	x,	-71.4208532975223|	angle,	4.31407523441|	y m,	0.757632658527
3.957660675048828:	imu;	yaw,	-4.714570999145508
4.022180080413818:	state;	y,	42.42730274362375|	ang v,	0.0232002323221|	vy,	0.0|	x m,	-1.06891238754|	vx,	0.0|	x,	-71.42085328770868|	angle,	4.31517942104|	y m,	0.758438354517
4.022675275802612:	imu;	yaw,	-4.713479995727539
4.03313422203064:	state;	y,	42.427302815861886|	ang v,	-0.0415175218327|	vy,	0.0|	x m,	-1.06087760556|	vx,	0.0|	x,	-71.4208532778227|	angle,	4.31409117595|	y m,	0.759249992465
4.0337677001953125:	imu;	yaw,	-4.714570999145508
4.0987389087677:	state;	y,	42.42730288799049|	ang v,	-0.0470896375613|	vy,	0.0|	x m,	-1.05285500882|	vx,	0.0|	x,	-71.4208532679517|	angle,	4.31300502396|	y m,	0.760060399514
4.09932541847229:	imu;	yaw,	-4.715661525726318
4.10850715637207:	state;	y,	42.42730306165702|	ang v,	-0.00753272236973|	vy,	0.0|	x m,	-1.03353872328|	vx,	0.0|	x,	-71.42085324418495|	angle,	4.31406508115|	y m,	0.762011644787
4.109021186828613:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
4.1137964725494385:	state;	y,	42.42730306165702|	ang v,	-0.00753272236973|	vy,	0.0|	x m,	-1.03353872328|	vx,	0.0|	x,	-71.42085324418495|	angle,	4.31406508115|	y m,	0.762011644787
4.114220142364502:	imu;	yaw,	-4.714570999145508
4.259903907775879:	state;	y,	42.42730321608697|	ang v,	-0.121116574851|	vy,	0.0|	x m,	-1.01636205057|	vx,	0.0|	x,	-71.42085322305078|	angle,	4.31191357723|	y m,	0.763746755885
4.260412216186523:	imu;	yaw,	-4.715661525726318
4.268100738525391:	state;	y,	42.42730321608697|	ang v,	-0.121116574851|	vy,	0.0|	x m,	-1.01636205057|	vx,	0.0|	x,	-71.42085322305078|	angle,	4.31191357723|	y m,	0.763746755885
4.26885724067688:	imu;	yaw,	-4.716752529144287
4.293668746948242:	state;	y,	42.42730330859743|	ang v,	-0.164071744079|	vy,	0.0|	x m,	-1.00607245491|	vx,	0.0|	x,	-71.42085321039049|	angle,	4.31188741643|	y m,	0.764786165084
4.294109582901001:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
4.4917707443237305:	state;	y,	42.42730338607005|	ang v,	-0.0593494242198|	vy,	0.0|	x m,	-0.997455461428|	vx,	0.0|	x,	-71.42085319978813|	angle,	4.31301116698|	y m,	0.765656615449
4.492309808731079:	imu;	yaw,	-4.715661525726318
4.504272937774658:	state;	y,	42.42730357742679|	ang v,	-0.0338037690119|	vy,	0.0|	x m,	-0.976171559273|	vx,	0.0|	x,	-71.42085317360043|	angle,	4.31188372391|	y m,	0.767806620603
4.505075693130493:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
4.511137008666992:	state;	y,	42.42730357742679|	ang v,	-0.0338037690119|	vy,	0.0|	x m,	-0.976171559273|	vx,	0.0|	x,	-71.42085317360043|	angle,	4.31188372391|	y m,	0.767806620603
4.511809587478638:	imu;	yaw,	-4.716752529144287
4.523574590682983:	state;	y,	42.42730367343447|	ang v,	0.0394778324322|	vy,	0.0|	x m,	-0.96549297878|	vx,	0.0|	x,	-71.42085316046153|	angle,	4.31297715327|	y m,	0.76888532332
4.523927688598633:	imu;	yaw,	-4.715661525726318
4.585287094116211:	state;	y,	42.42730376837783|	ang v,	0.0432055984922|	vy,	0.0|	x m,	-0.95493278055|	vx,	0.0|	x,	-71.42085314746826|	angle,	4.31407228568|	y m,	0.769952067588
4.586097002029419:	imu;	yaw,	-4.714570999145508
4.597965240478516:	state;	y,	42.427303860054195|	ang v,	0.0306606111798|	vy,	0.0|	x m,	-0.944735957771|	vx,	0.0|	x,	-71.42085313492211|	angle,	4.31517254517|	y m,	0.770982105283
4.598469018936157:	imu;	yaw,	-4.713479995727539
4.661069631576538:	state;	y,	42.42730394715696|	ang v,	0.0222864967138|	vy,	0.0|	x m,	-0.935047839692|	vx,	0.0|	x,	-71.42085312300185|	angle,	4.31627596638|	y m,	0.771960755892
4.661558151245117:	imu;	yaw,	-4.71238899230957
4.69106388092041:	state;	y,	42.427304050120924|	ang v,	0.0191284917706|	vy,	0.0|	x m,	-0.923595537292|	vx,	0.0|	x,	-71.42085310891095|	angle,	4.31625198724|	y m,	0.773117616556
4.6916608810424805:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
