1.3266406059265137:	state;	y m,	2.27844498431|	vx,	0.0767061610417|	angle,	0.393019810744|	x m,	-0.917809868221|	ang v,	-0.101152003309|	y,	42.42730410213507|	vy,	0.0552475349499|	x,	-71.42083477359908
1.3270046710968018:	encoder;	counts,	1
1.3511710166931152:	controller;	speed_command,	0.6|	angle_command,	2.81826857069
1.3512327671051025:	waypoints;	goal_x,	-71.42084821708086|	goal_y,	42.42730372901243
1.3521792888641357:	imu;	yaw,	-4.819290637969971
1.3594210147857666:	state;	y m,	2.51585594993|	vx,	0.510613639475|	angle,	0.382119043936|	x m,	-0.839065895511|	ang v,	-0.202354358109|	y,	42.42730481009614|	vy,	0.489150184936|	x,	-71.42083188186622
1.3598487377166748:	gps;	long,	-71.42078399658203|	lat,	42.427303314208984|	fix,	True
1.3823254108428955:	controller;	speed_command,	0.6|	angle_command,	2.79045852705
1.3823869228363037:	waypoints;	goal_x,	-71.42084821708086|	goal_y,	42.42730372901243
1.3841338157653809:	imu;	yaw,	-4.822563171386719
1.3882989883422852:	imu;	yaw,	-4.824744701385498
1.3924469947814941:	imu;	yaw,	-4.826926231384277
1.4143593311309814:	controller;	speed_command,	0.6|	angle_command,	2.81157738273
1.4144341945648193:	waypoints;	goal_x,	-71.42084821708086|	goal_y,	42.42730372901243
1.4175822734832764:	imu;	yaw,	-4.829108238220215
1.4216265678405762:	imu;	yaw,	-4.830198764801025
1.4472475051879883:	controller;	speed_command,	0.6|	angle_command,	2.82555841509
1.4473166465759277:	waypoints;	goal_x,	-71.42084555194063|	goal_y,	42.42730459699932
1.4507668018341064:	imu;	yaw,	-4.829108238220215
1.4555308818817139:	imu;	yaw,	-4.830198764801025
1.4786536693572998:	controller;	speed_command,	0.6|	angle_command,	2.79125668062
1.47871994972229:	waypoints;	goal_x,	-71.42084555194063|	goal_y,	42.42730459699932
1.4802930355072021:	imu;	yaw,	-4.831289768218994
1.4847707748413086:	imu;	yaw,	-4.832380294799805
1.4894647598266602:	imu;	yaw,	-4.831289768218994
1.5134446620941162:	controller;	speed_command,	0.6|	angle_command,	2.80615173581
1.51350736618042:	waypoints;	goal_x,	-71.42084555194063|	goal_y,	42.42730459699932
1.5172443389892578:	state;	y m,	2.72350727428|	vx,	0.289685449338|	angle,	0.381025219323|	x m,	-0.778342308592|	ang v,	0.189789032406|	y,	42.427305356041735|	vy,	0.120922489316|	x,	-71.42082935261422
1.5176270008087158:	encoder;	counts,	2
1.544424295425415:	controller;	speed_command,	0.6|	angle_command,	2.80738960622
1.5444929599761963:	waypoints;	goal_x,	-71.42084295609673|	goal_y,	42.42730520126231
1.5475242137908936:	imu;	yaw,	-4.826926231384277
