2.121613025665283:	lidar;	364
2.1216278076171875:	lidar;	34	8	7384
2.1252079010009766:	lidar;	401
2.1252219676971436:	lidar;	35	8	7504
2.1301310062408447:	lidar;	483
2.1301448345184326:	lidar;	36	8	7368
2.136107921600342:	lidar;	545
2.13612699508667:	lidar;	37	8	7232
2.1430389881134033:	lidar;	716
2.1430459022521973:	lidar;	0	9	7248
2.150033950805664:	lidar;	957
2.1500518321990967:	lidar;	1	9	7256
2.1580519676208496:	lidar;	909
2.1580588817596436:	lidar;	2	9	7280
2.164989948272705:	lidar;	895
2.1649978160858154:	lidar;	3	9	7264
2.1719658374786377:	lidar;	328
2.1719818115234375:	lidar;	4	9	7040
2.1930108070373535:	lidar;	89
2.1930270195007324:	lidar;	5	9	21216
2.1999800205230713:	lidar;	76
2.200917959213257:	lidar;	6	9	7256
2.208012819290161:	lidar;	64
2.208035945892334:	lidar;	7	9	7168
2.2149548530578613:	lidar;	61
2.2149648666381836:	lidar;	8	9	7040
2.221967935562134:	lidar;	54
2.2219839096069336:	lidar;	9	9	7136
2.2289698123931885:	lidar;	52
2.2289769649505615:	lidar;	10	9	7136
2.2370338439941406:	lidar;	53
2.2370479106903076:	lidar;	11	9	6992
2.2565059661865234:	lidar;	52
2.256523847579956:	lidar;	12	9	7232
2.2565789222717285:	lidar;	55
2.2565858364105225:	lidar;	13	9	7104
2.2580299377441406:	lidar;	57
2.2580418586730957:	lidar;	14	9	7400
2.2670199871063232:	lidar;	38
2.2670328617095947:	lidar;	15	9	7528
2.272037982940674:	lidar;	33
2.27205491065979:	lidar;	16	9	7072
2.2809698581695557:	lidar;	29
2.2809839248657227:	lidar;	17	9	7152
2.2859668731689453:	lidar;	27
2.286952018737793:	lidar;	18	9	7176
2.2929728031158447:	lidar;	22
2.2929909229278564:	lidar;	19	9	7136
2.3009707927703857:	lidar;	22
2.300985813140869:	lidar;	20	9	7096
2.3163838386535645:	lidar;	22
2.3164010047912598:	lidar;	21	9	7144
2.3164098262786865:	lidar;	17
2.3164169788360596:	lidar;	22	9	7128
2.324497938156128:	lidar;	19
2.324512004852295:	lidar;	23	9	7112
2.3290328979492188:	lidar;	23
2.3290438652038574:	lidar;	24	9	7128
2.3360159397125244:	lidar;	28
2.3360300064086914:	lidar;	25	9	7144
2.3441200256347656:	lidar;	472
2.3441498279571533:	lidar;	26	9	7344
2.3509697914123535:	lidar;	401
2.3509769439697266:	lidar;	27	9	7400
