1.9481840133666992:	lidar;	32	10
1.9482519626617432:	lidar;	390
1.9482600688934326:	lidar;	33	10
1.9482669830322266:	lidar;	412
1.9482719898223877:	lidar;	34	10
1.9482779502868652:	lidar;	536
1.94828200340271:	lidar;	35	10
1.9486489295959473:	lidar;	326
1.9486639499664307:	lidar;	36	10
1.9617819786071777:	lidar;	347
1.9618148803710938:	lidar;	37	10
1.9667608737945557:	lidar;	374
1.9667868614196777:	lidar;	0	11
1.9707109928131104:	lidar;	414
1.9707250595092773:	lidar;	1	11
1.9766569137573242:	lidar;	474
1.97666597366333:	lidar;	2	11
1.9846549034118652:	lidar;	975
1.9856538772583008:	lidar;	3	11
1.9926559925079346:	lidar;	906
1.992671012878418:	lidar;	4	11
2.0135769844055176:	lidar;	275
2.013592004776001:	lidar;	5	11
2.013598918914795:	lidar;	136
2.013603925704956:	lidar;	6	11
2.013611078262329:	lidar;	93
2.0136148929595947:	lidar;	7	11
2.0187158584594727:	lidar;	73
2.019702911376953:	lidar;	8	11
2.0246529579162598:	lidar;	61
2.0246620178222656:	lidar;	9	11
2.0317060947418213:	lidar;	54
2.032728910446167:	lidar;	10	11
2.037644863128662:	lidar;	53
2.037653923034668:	lidar;	11	11
2.0446619987487793:	lidar;	43
2.044672966003418:	lidar;	12	11
2.049668073654175:	lidar;	44
2.0496749877929688:	lidar;	13	11
2.0536539554595947:	lidar;	44
2.0536699295043945:	lidar;	14	11
2.0596649646759033:	lidar;	37
2.0596718788146973:	lidar;	15	11
2.082637071609497:	lidar;	44
2.0826549530029297:	lidar;	16	11
2.0826640129089355:	lidar;	51
2.0826690196990967:	lidar;	17	11
2.082674980163574:	lidar;	58
2.0826799869537354:	lidar;	18	11
2.086688995361328:	lidar;	1
2.0876989364624023:	lidar;	19	11
2.099713087081909:	lidar;	784
2.0997278690338135:	lidar;	20	11
2.105654001235962:	lidar;	503
2.105660915374756:	lidar;	21	11
2.11366605758667:	lidar;	393
2.1136770248413086:	lidar;	22	11
2.118644952774048:	lidar;	408
2.1186509132385254:	lidar;	23	11
2.1226630210876465:	lidar;	539
2.122668981552124:	lidar;	24	11
2.1276540756225586:	lidar;	325
2.127660036087036:	lidar;	25	11
2.1478588581085205:	lidar;	348
2.1478769779205322:	lidar;	26	11
2.1478850841522217:	lidar;	380
