5.262094974517822:	lidar;	9	22
5.276220083236694:	lidar;	181
5.276235103607178:	lidar;	10	22
5.2901201248168945:	lidar;	112
5.290138006210327:	lidar;	11	22
5.30607008934021:	lidar;	85
5.306081056594849:	lidar;	12	22
5.321061134338379:	lidar;	72
5.321069002151489:	lidar;	13	22
5.340065956115723:	lidar;	59
5.340080976486206:	lidar;	14	22
5.351140975952148:	lidar;	54
5.351161003112793:	lidar;	15	22
5.367459058761597:	lidar;	51
5.367475986480713:	lidar;	16	22
5.384109020233154:	lidar;	50
5.384130954742432:	lidar;	17	22
5.411715984344482:	lidar;	48
5.411731004714966:	lidar;	18	22
5.417088031768799:	lidar;	20
5.417108058929443:	lidar;	19	22
5.441102027893066:	lidar;	20
5.4411211013793945:	lidar;	20	22
5.475780963897705:	lidar;	18
5.475799083709717:	lidar;	21	22
5.509034156799316:	lidar;	35
5.509050130844116:	lidar;	22	22
5.53984808921814:	lidar;	32
5.539865970611572:	lidar;	23	22
5.567046165466309:	lidar;	23
5.56705904006958:	lidar;	24	22
5.603189945220947:	lidar;	24
5.603215932846069:	lidar;	25	22
5.615020990371704:	lidar;	22
5.615033149719238:	lidar;	26	22
5.637028932571411:	lidar;	19
5.6370460987091064:	lidar;	27	22
5.66770601272583:	lidar;	19
5.66772198677063:	lidar;	28	22
5.682050943374634:	lidar;	20
5.682065963745117:	lidar;	29	22
5.702088117599487:	lidar;	20
5.702111005783081:	lidar;	30	22
5.727774143218994:	lidar;	19
5.727790117263794:	lidar;	31	22
5.739166021347046:	lidar;	19
5.739192962646484:	lidar;	32	22
5.7580180168151855:	lidar;	18
5.758023977279663:	lidar;	33	22
5.774019002914429:	lidar;	20
5.774024963378906:	lidar;	34	22
5.798259973526001:	lidar;	34
5.798279047012329:	lidar;	35	22
5.807045936584473:	lidar;	414
5.80705714225769:	lidar;	36	22
5.862776041030884:	lidar;	333
5.862795114517212:	lidar;	37	22
5.869078159332275:	lidar;	344
5.869085073471069:	lidar;	0	23
5.883054971694946:	lidar;	358
5.883068084716797:	lidar;	1	23
5.898020029067993:	lidar;	388
5.898025989532471:	lidar;	2	23
5.912061929702759:	lidar;	428
5.912081003189087:	lidar;	3	23
5.9300689697265625:	lidar;	474
5.930086135864258:	lidar;	4	23
5.942019939422607:	lidar;	635
5.94202995300293:	lidar;	5	23
5.956014156341553:	lidar;	990
5.95602011680603:	lidar;	6	23
5.971001148223877:	lidar;	936
5.971012115478516:	lidar;	7	23
5.994919061660767:	lidar;	907
5.994936943054199:	lidar;	8	23
6.004117012023926:	lidar;	528
6.004132032394409:	lidar;	9	23
6.018181085586548:	lidar;	179
6.018202066421509:	lidar;	10	23
6.031989097595215:	lidar;	111
6.031996011734009:	lidar;	11	23
6.054466962814331:	lidar;	86
