10.085779428482056:	blue_led;	229
10.09011697769165:	motors;	90
10.098769426345825:	blue_led;	230
10.17419147491455:	gps;	long,	0.0|	lat,	0.0|	fix,	False
10.217997789382935:	blue_led;	229
10.22240424156189:	motors;	89
10.231478452682495:	imu;	yaw,	-2.3081979751586914|	accel_x,	-0.6000000238418579|	accel_y,	-1.309999942779541|	compass,	1.329822063446045|	ang_vx,	-0.4328416585922241|	ang_vy,	-0.6143559217453003
10.232542753219604:	blue_led;	226
10.23700761795044:	motors;	88
10.247125387191772:	blue_led;	222
10.251563310623169:	motors;	87
10.261528015136719:	blue_led;	220
10.265865325927734:	motors;	86
10.274529457092285:	blue_led;	217
10.278844118118286:	motors;	85
10.288888216018677:	blue_led;	214
10.293297290802002:	motors;	84
10.351019620895386:	blue_led;	213
10.355540990829468:	motors;	83
10.368531942367554:	blue_led;	212
10.408594608306885:	blue_led;	210
10.412923097610474:	motors;	82
10.43577241897583:	blue_led;	208
10.440114498138428:	motors;	81
10.44888162612915:	blue_led;	203
10.453261852264404:	motors;	79
10.45763897895813:	blue_led;	198
10.461963176727295:	motors;	77
10.466363191604614:	blue_led;	196
10.475167274475098:	blue_led;	194
10.479516744613647:	motors;	76
10.485300302505493:	blue_led;	193
10.489731073379517:	motors;	75
10.494101762771606:	blue_led;	188
10.498413801193237:	motors;	74
10.502750158309937:	blue_led;	185
10.507051467895508:	motors;	72
10.51138186454773:	blue_led;	182
10.515743970870972:	motors;	71
10.520133256912231:	blue_led;	180
10.524511337280273:	motors;	70
10.528889894485474:	blue_led;	178
10.537444591522217:	blue_led;	176
10.541938304901123:	motors;	69
10.546290874481201:	blue_led;	173
10.550675630569458:	motors;	68
10.555079936981201:	blue_led;	171
10.559633016586304:	motors;	67
10.565425157546997:	blue_led;	170
10.569865703582764:	motors;	66
10.577890872955322:	gps;	long,	0.0|	lat,	0.0|	fix,	False
10.591977834701538:	imu;	yaw,	-2.319106340408325|	accel_x,	-0.03999999910593033|	accel_y,	-0.5799999833106995|	compass,	2.9963033199310303|	ang_vx,	-0.3141592741012573|	ang_vy,	0.7190756797790527
10.593714714050293:	blue_led;	169
10.621167421340942:	imu;	yaw,	-2.3245606422424316|	accel_x,	-0.8500000238418579|	accel_y,	-0.5199999809265137|	compass,	3.087523937225342|	ang_vx,	0.5235987901687622|	ang_vy,	-0.16057029366493225
10.621908187866211:	blue_led;	166
10.62632131576538:	motors;	65
10.630832433700562:	blue_led;	164
10.635138511657715:	motors;	64
10.640840768814087:	blue_led;	161
10.645365953445435:	motors;	63
10.649953842163086:	blue_led;	154
10.654366254806519:	motors;	60
10.658758163452148:	blue_led;	147
10.66307020187378:	motors;	57
10.667474269866943:	blue_led;	136
10.671819925308228:	motors;	53
10.676155090332031:	blue_led;	130
10.680580377578735:	motors;	51
10.686339378356934:	blue_led;	126
10.690666913986206:	motors;	49
10.695000410079956:	blue_led;	123
10.699300765991211:	motors;	48
10.703676462173462:	blue_led;	117
10.708036422729492:	motors;	46
10.71242904663086:	blue_led;	111
10.716743469238281:	motors;	43
10.722489833831787:	blue_led;	100
10.726845979690552:	motors;	39
10.739989995956421:	blue_led;	99
10.748780250549316:	blue_led;	100
10.757635593414307:	blue_led;	99
10.767765283584595:	blue_led;	98
10.774393081665039:	motors;	38
10.776234149932861:	gps;	long,	0.0|	lat,	0.0|	fix,	False
10.778824090957642:	blue_led;	103
10.783191204071045:	motors;	40
10.787573337554932:	blue_led;	108
10.791901111602783:	motors;	42
10.796279668807983:	blue_led;	110
10.800618171691895:	motors;	43
10.804980039596558:	blue_led;	111
10.813817977905273:	blue_led;	112
10.818162441253662:	motors;	44
10.822535991668701:	blue_led;	114
10.841224431991577:	blue_led;	116
10.845590114593506:	motors;	45
10.850090980529785:	blue_led;	117
10.854406833648682:	motors;	46
10.858870267868042:	blue_led;	116
10.863165140151978:	motors;	45
10.87744665145874:	blue_led;	114
10.881759881973267:	motors;	44
10.88623595237732:	blue_led;	113
10.896242380142212:	blue_led;	111
10.900628566741943:	motors;	43
10.92350435256958:	blue_led;	110
