2.4059367179870605:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.416163444519043:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.4276485443115234:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.4344866275787354:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.542243242263794:	gps;	long,	0.0|	lat,	0.0|	fix,	False
2.55322527885437:	imu;	yaw,	-6.274458885192871|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.565746545791626:	imu;	yaw,	-6.2733683586120605|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.5773766040802:	imu;	yaw,	-6.272277355194092|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.584434986114502:	imu;	yaw,	-6.271186828613281|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.7425732612609863:	gps;	long,	0.0|	lat,	0.0|	fix,	False
2.9423089027404785:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.1431190967559814:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.152984619140625:	imu;	yaw,	-6.211190223693848|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
3.3423454761505127:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.7427845001220703:	gps;	long,	0.0|	lat,	0.0|	fix,	False
3.941887617111206:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.143510341644287:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.3423333168029785:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.7430644035339355:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.943481683731079:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.144929885864258:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.155794620513916:	imu;	yaw,	-0.05890486389398575|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
5.168241739273071:	imu;	yaw,	-0.05890486389398575|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
5.276150465011597:	imu;	yaw,	-0.05890486389398575|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
5.284944534301758:	imu;	yaw,	-0.05890486389398575|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
5.345416307449341:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.745257616043091:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.94190526008606:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.141660451889038:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.34273362159729:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.542703866958618:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.653643608093262:	imu;	yaw,	-0.05345071107149124|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
6.742905139923096:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.943054914474487:	gps;	long,	0.0|	lat,	0.0|	fix,	False
7.144252300262451:	gps;	long,	0.0|	lat,	0.0|	fix,	False
7.344428777694702:	gps;	long,	0.0|	lat,	0.0|	fix,	False
7.603599309921265:	imu;	yaw,	-6.0606560707092285|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
7.643388986587524:	imu;	yaw,	-6.0606560707092285|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
7.745866775512695:	gps;	long,	0.0|	lat,	0.0|	fix,	False
