,servo_steering,gps,,,,,,,encoder,imu,,,,,,,,,,,,
timestamp,position,lat_min,lat_sec,long_min,long_sec,speed,heading,hdop,counts,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,yaw,pitch,roll,quat_w,quat_x,quat_y,quat_z
168.7690370083,-42,40,26.5970993042,79,56.3669013977,8.074719429,1.0499999523,318.3299865723,86,1.1000000238,0.0199999996,-14.3299999237,0.1566666663,0.0977777764,-0.1144444421,304.5,-5.9375,-1,0.8837890625,3.9836425781,0.049987793,0.4649047852
168.8614866734,-42,40,26.5970993042,79,56.3669013977,8.074719429,1.0499999523,318.3299865723,86,1.9099999666,-1.1299999952,-7.4400000572,0.2077777833,-0.1655555516,-0.0588888898,304.9375,-6.0625,-0.9375,0.8856201172,3.9826660156,0.0512084961,0.4612426758
168.9733450413,-50,40,26.5970993042,79,56.3669013977,8.074719429,1.0499999523,318.3299865723,86,1.1299999952,-0.3799999952,-11.3299999237,0.5600000024,-0.2166666687,-0.1477777809,305.625,-5.75,-1.1875,0.8884887695,3.986328125,0.0494384766,0.4560546875
169.0708591938,-42,40,26.5970993042,79,56.3669013977,8.074719429,1.0499999523,318.3299865723,86,4.8000001907,0.0500000007,6.2100000381,-0.1266666651,-0.0344444439,-0.0966666639,306.375,-5.75,-1.125,0.8914794922,3.9862060547,0.0493164063,0.4501953125
169.1798951626,-42,40,26.5970993042,79,56.3669013977,8.074719429,1.0499999523,318.3299865723,86,-2.5199999809,0.6700000167,-21.2900009155,0.3411111236,0.1833333373,-0.1177777797,306.9375,-5.9375,-0.8125,0.8936767578,3.983581543,0.0496826172,0.4456176758
169.2862317562,-4,40,26.5970993042,79,56.3669013977,8.074719429,1.0499999523,318.3299865723,86,2.3399999142,0.6600000262,-3.5099999905,0.2466666698,-0.113333337,-0.0788888857,307.625,-5.375,-0.8125,0.8963623047,3.9859008789,0.045715332,0.4407348633
169.3893933296,28,40,26.5970993042,79,56.3669013977,8.074719429,1.0499999523,318.3299865723,86,1.4800000191,-1.0599999428,-13.2399997711,0.0577777773,0.1477777809,-0.0211111102,308.0625,-5.5625,-0.875,0.8979492188,3.9855957031,0.0470581055,0.4373168945
169.4960632324,72,40,26.5970993042,79,56.3669013977,8.074719429,1.0499999523,318.3299865723,86,-4.4200000763,-2.7899999619,8.4300003052,-1.0499999523,1.0288889408,-0.2044444382,308.5625,-6.375,-0.5625,0.899597168,3.9802246094,0.0526123047,0.4331054688
169.5944011211,74,40,26.5970993042,79,56.3669013977,8.074719429,1.0499999523,318.3299865723,86,-3.8699998856,1.1799999475,-30.1700000763,0.5155555606,-0.5044444203,0.2033333331,308.3125,-6,-0.875,0.8988647461,3.9841308594,0.0509643555,0.4349975586
169.6957833767,74,40,26.5980987549,79,56.3680000305,8.296959877,1.3499999046,322.0299987793,88,-1.6900000572,-1.4500000477,13.8400001526,-0.055555556,-0.2677777708,0.1355555505,307.875,-5.875,-0.625,0.8971557617,3.9827270508,0.0487060547,0.4385986328
