,servo_steering,gps,,encoder,imu,,,,
timestamp,position,lat,long,counts,accel_x,accel_y,gyro_z,yaw,compass
3.6120352745056152,49,0,0,0,0,0,0,0,0
3.626218795776367,61,0,0,0,0,0,0,0,0
3.640993595123291,61,0,0,0,0,0,0,0,0
3.6558172702789307,61,0,0,0,0,0,0,0,0
3.6703402996063232,61,0,0,0,0,0,0,0,0
3.68501353263855,61,0,0,0,0,0,0,0,0
3.6994924545288086,61,0,0,0,0,0,0,0,0
3.7141873836517334,61,0,0,0,0,0,0,0,0
3.7287590503692627,61,0,0,0,0,0,0,0,0
3.744509696960449,61,0,0,0,0,0,0,0,0
3.7589340209960938,61,0,0,0,0,0,0,0,0
3.773648500442505,61,0,0,0,0,0,0,0,0
3.8006951808929443,61,0,0,0,0,0,0,0,0
3.811462640762329,61,0,0,0,0,0,0,0,0
3.820967197418213,61,0,0,0,0,0,0,0,0
3.8357725143432617,61,0,0,0,0,0,0,0,0
3.8529186248779297,61,0,0,0,0,0,0,0,0
3.8700222969055176,61,0,0,0,0,0,0,0,0
3.8876030445098877,61,0,0,0,0,0,0,0,0
3.9044835567474365,61,0,0,0,0,0,0,0,0
3.9210710525512695,61,0,0,0,0,0,0,0,0
3.9374797344207764,61,0,0,0,0,0,0,0,0
3.9535319805145264,61,0,0,0,0,0,0,0,0
3.9707891941070557,61,0,0,0,0,0,0,0,0
3.987936496734619,61,0,0,0,0,0,0,0,0
4.003959655761719,61,0,0,0,0,0,0,0,0
4.019977569580078,61,0,0,0,0,0,0,0,0
4.037156581878662,49,0,0,0,0,0,0,0,0
4.053470134735107,19,0,0,0,0,0,0,0,0
4.067824840545654,19,0,0,0,0,0,0,0,0
4.082358121871948,17,0,0,0,0,0,0,0,0
4.097451210021973,7,0,0,0,0,0,0,0,0
4.112167835235596,7,0,0,0,0,0,0,0,0
4.127465009689331,-23,0,0,0,0,0,0,0,0
4.142988443374634,-36,0,0,0,0,0,0,0,0
4.158536195755005,-65,0,0,0,0,0,0,0,0
4.182141065597534,-90,0,0,0,0,0,0,0,0
4.193249702453613,-90,0,0,0,0,0,0,0,0
4.202111005783081,-90,0,0,0,0,0,0,0,0
4.22874641418457,-90,0,0,0,0,0,0,0,0
4.245346307754517,-90,0,0,0,0,0,0,0,0
4.26207160949707,-90,0,0,0,0,0,0,0,0
4.282090425491333,-90,0,0,0,0,0,0,0,0
4.299480676651001,-90,0,0,0,0,0,0,0,0
4.31627631187439,-90,0,0,0,0,0,0,0,0
4.33294415473938,-90,0,0,0,0,0,0,0,0
4.349700450897217,-90,0,0,0,0,0,0,0,0
4.3659679889678955,-90,0,0,0,0,0,0,0,0
4.382198333740234,-90,0,0,0,0,0,0,0,0
4.399106740951538,-90,0,0,0,0,0,0,0,0
4.415356636047363,-90,0,0,0,0,0,0,0,0
4.4326560497283936,-90,40.44361877441406,79.94062042236328,0,0,0,0,0,0
4.4485838413238525,-90,40.44361877441406,79.94062042236328,0,0,0,0,0,0
4.465583801269531,-90,40.44361877441406,79.94062042236328,0,-0.07999999821186066,0.03999999910593033,-0.023333333432674408,2.5625,3.853713035583496
4.481868028640747,-90,40.44361877441406,79.94062042236328,0,-0.07999999821186066,0.03999999910593033,-0.023333333432674408,2.5625,3.853713035583496
4.498365163803101,-90,40.44361877441406,79.94062042236328,0,-0.05000000074505806,0.0,-0.021111110225319862,2.5625,3.853713035583496
4.5155439376831055,-90,40.44361877441406,79.94062042236328,0,-0.05000000074505806,0.0,-0.021111110225319862,2.5625,3.853713035583496
4.532510995864868,-90,40.44361877441406,79.94062042236328,0,-0.05000000074505806,0.0,-0.021111110225319862,2.5625,3.853713035583496
4.549166917800903,-90,40.44361877441406,79.94062042236328,0,0.009999999776482582,0.0,-0.01666666753590107,2.5625,3.874239921569824
4.566975116729736,-90,40.44361877441406,79.94062042236328,0,-0.03999999910593033,0.0,-0.017777778208255768,2.5625,3.843168020248413
4.5817694664001465,-90,40.44361877441406,79.94062042236328,0,-0.03999999910593033,0.0,-0.017777778208255768,2.5625,3.843168020248413
4.5974485874176025,-90,40.44361877441406,79.94062042236328,0,-0.18000000715255737,-0.019999999552965164,-0.014444444328546524,2.5625,3.843168020248413
4.612177133560181,-90,40.44361877441406,79.94062042236328,0,-0.18000000715255737,-0.019999999552965164,-0.014444444328546524,2.5625,3.843168020248413
4.626815319061279,-90,40.44361877441406,79.94062042236328,0,-0.15000000596046448,0.009999999776482582,-0.012222222052514553,2.5625,3.9120171070098877
4.641587257385254,-90,40.44361877441406,79.94062042236328,0,-0.15000000596046448,0.009999999776482582,-0.012222222052514553,2.5625,3.9120171070098877
4.656907320022583,-90,40.44361877441406,79.94062042236328,0,-0.14000000059604645,-0.03999999910593033,-0.008888889104127884,2.5625,3.9120171070098877
4.670961380004883,-90,40.44361877441406,79.94062042236328,0,-0.14000000059604645,-0.03999999910593033,-0.008888889104127884,2.5625,3.9120171070098877
4.685675859451294,-90,40.44361877441406,79.94062042236328,0,-0.1899999976158142,-0.05999999865889549,-0.012222222052514553,2.5625,3.903892755508423
4.700312614440918,-90,40.44361877441406,79.94062042236328,0,-0.1899999976158142,-0.05999999865889549,-0.012222222052514553,2.5625,3.903892755508423
4.714866399765015,-90,40.44361877441406,79.94062042236328,0,-0.1899999976158142,-0.05999999865889549,-0.012222222052514553,2.5625,3.903892755508423
4.72956395149231,-61,40.44361877441406,79.94062042236328,0,-0.1899999976158142,-0.05999999865889549,-0.012222222052514553,2.5625,3.903892755508423
4.7440900802612305,-40,40.44361877441406,79.94062042236328,0,-0.1899999976158142,-0.05999999865889549,-0.012222222052514553,2.5625,3.903892755508423
4.758949041366577,-21,40.44361877441406,79.94062042236328,0,-0.1899999976158142,-0.05999999865889549,-0.012222222052514553,2.5625,3.903892755508423
4.773822546005249,1,40.44361877441406,79.94062042236328,0,-0.1899999976158142,-0.05999999865889549,-0.012222222052514553,2.5625,3.903892755508423
4.78846001625061,27,40.44361877441406,79.94062042236328,0,-0.1899999976158142,-0.05999999865889549,-0.012222222052514553,2.5625,3.903892755508423
4.803187131881714,33,40.44361877441406,79.94062042236328,0,-0.1899999976158142,-0.05999999865889549,-0.012222222052514553,2.5625,3.903892755508423
4.817229270935059,35,40.44361877441406,79.94062042236328,0,-0.009999999776482582,0.0,-0.009999999776482582,2.625,3.8833999633789062
4.831871032714844,35,40.44361877441406,79.94062042236328,0,-0.009999999776482582,0.0,-0.009999999776482582,2.625,3.8833999633789062
4.8462464809417725,35,40.44361877441406,79.94062042236328,0,-0.009999999776482582,0.0,-0.009999999776482582,2.625,3.8833999633789062
4.862885475158691,37,40.44361877441406,79.94062042236328,0,-0.10999999940395355,0.019999999552965164,-0.0055555556900799274,2.625,3.8833999633789062
4.877777099609375,39,40.44361877441406,79.94062042236328,0,-0.10999999940395355,0.019999999552965164,-0.0055555556900799274,2.625,3.8833999633789062
4.8924665451049805,43,40.44361877441406,79.94062042236328,0,0.12999999523162842,0.0,-0.0011111111380159855,2.5625,3.9319825172424316
4.906858682632446,47,40.44361877441406,79.94062042236328,0,0.12999999523162842,0.0,-0.0011111111380159855,2.5625,3.9319825172424316
4.921527147293091,57,40.44361877441406,79.94062042236328,0,0.12999999523162842,0.009999999776482582,-0.0011111111380159855,2.5625,3.931884765625
4.93618631362915,57,40.44361877441406,79.94062042236328,0,0.12999999523162842,0.009999999776482582,-0.0011111111380159855,2.5625,3.931884765625
4.950822353363037,63,40.44361877441406,79.94062042236328,0,0.20000000298023224,-0.029999999329447746,0.024444444105029106,2.5625,3.931884765625
4.965185165405273,63,40.44361877441406,79.94062042236328,0,0.20000000298023224,-0.029999999329447746,0.024444444105029106,2.5625,3.931884765625
4.979785919189453,63,40.44361877441406,79.94062042236328,0,0.20000000298023224,-0.029999999329447746,0.024444444105029106,2.5625,3.931884765625
4.997034549713135,63,40.44361877441406,79.94062042236328,0,-0.5899999737739563,0.029999999329447746,0.029999999329447746,2.5625,3.9139199256896973
5.011830568313599,63,40.44361877441406,79.94062042236328,0,-0.09000000357627869,0.0,0.035555556416511536,2.5625,3.9011902809143066
5.026584625244141,63,40.44361877441406,79.94062042236328,0,-0.09000000357627869,0.0,0.035555556416511536,2.5625,3.9011902809143066
5.041531562805176,63,40.44361877441406,79.94062042236328,0,0.6100000143051147,0.03999999910593033,0.03333333507180214,2.5625,3.9011902809143066
5.056613922119141,63,40.44361877441406,79.94062042236328,0,0.6100000143051147,0.03999999910593033,0.03333333507180214,2.5625,3.9011902809143066
5.071451663970947,63,40.44361877441406,79.94062042236328,0,-0.15000000596046448,0.10000000149011612,0.02777777798473835,2.5625,3.8612961769104004
5.086549758911133,63,40.44361877441406,79.94062042236328,0,-0.15000000596046448,0.10000000149011612,0.02777777798473835,2.5625,3.8612961769104004
5.100840330123901,63,40.44361877441406,79.94062042236328,0,0.20000000298023224,0.09000000357627869,0.028888888657093048,2.5625,3.8612961769104004
5.116110801696777,63,40.44361877441406,79.94062042236328,0,0.20000000298023224,0.09000000357627869,0.028888888657093048,2.5625,3.8612961769104004
5.130408525466919,63,40.44361877441406,79.94062042236328,0,-0.3199999928474426,0.10999999940395355,0.025555554777383804,2.5625,3.8826849460601807
5.145500898361206,63,40.44361877441406,79.94062042236328,0,-0.3199999928474426,0.10999999940395355,0.025555554777383804,2.5625,3.8826849460601807
5.15972900390625,63,40.44361877441406,79.94062042236328,0,0.09000000357627869,0.09000000357627869,0.03222222253680229,2.5625,3.8733837604522705
5.17456841468811,63,40.44361877441406,79.94062042236328,0,0.09000000357627869,0.09000000357627869,0.03222222253680229,2.5625,3.8733837604522705
5.188747406005859,63,40.44361877441406,79.94062042236328,0,0.09000000357627869,0.09000000357627869,0.03222222253680229,2.5625,3.8733837604522705
5.203908205032349,63,40.44361877441406,79.94062042236328,0,0.0,0.029999999329447746,0.03222222253680229,2.5625,3.8733837604522705
