,servo,gps,,,,,,,,,,,,,,encoder,imu,,,,,,,,,,,,,,,,,,,,
timestamp,angle,lat deg,lat min,long deg,long min,speed x,speed y,speed z,heading,altitude,satellites in view,satellites in use,hdop,pdop,vdop,counts,accel x,accel y,accel z,gyro x,gyro y,gyro z,euler x,euler y,euler z,quat w,quat x,quat y,quat z,temperature,grav x,grav y,grav z,mag x,mag y,mag z,compass
1223,0,40,26.6177,79,56.4368,0.14,0.16114,0.25928,303.51,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1234,0,40,26.6177,79,56.4368,0.14,0.16114,0.25928,303.51,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1246,0,40,26.6177,79,56.4368,0.14,0.16114,0.25928,303.51,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1263,0,40,26.6177,79,56.4368,0.14,0.16114,0.25928,303.51,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1337,0,40,26.6176,79,56.4369,0.08000001,0.09208001,0.14816,222.96,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1348,0,40,26.6176,79,56.4369,0.08000001,0.09208001,0.14816,222.96,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372,0,40,26.6176,79,56.4369,0.08000001,0.09208001,0.14816,222.96,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1383,0,40,26.6176,79,56.4369,0.08000001,0.09208001,0.14816,222.96,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394,0,40,26.6176,79,56.4369,0.08000001,0.09208001,0.14816,222.96,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1412,0,40,26.6176,79,56.4369,0.08000001,0.09208001,0.14816,222.96,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
