2.912048578262329:	blue_led;	0
2.922867774963379:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.964008092880249:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.0044467449188232:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.0448319911956787:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.085299253463745:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.1256704330444336:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.166029930114746:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.206523895263672:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.2469544410705566:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.2873942852020264:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.327916145324707:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.3680484294891357:	stepper;	2
3.3724751472473145:	blue_led;	146
3.377666473388672:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.417797803878784:	stepper;	4
3.421933174133301:	blue_led;	255
3.42645001411438:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.475252628326416:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.5239665508270264:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.5726029872894287:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.621377944946289:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.6516454219818115:	blue_led;	0
3.6618094444274902:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.7022624015808105:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.742682933807373:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.783088207244873:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
3.7925469875335693:	gps;	lat,	38.71666717529297|	long,	0.0|	altitude,	0.0|	geoid_height,	0.0|	pdop,	0.0|	hdop,	0.0|	vdop,	0.0|	fix,	False
3.811211109161377:	imu;	yaw,	6.282094478607178|	ax,	0.0|	ay,	0.019999999552965164|	az,	0.23000000417232513|	gx,	0.0|	gy,	0.0|	gz,	0.0|	mx,	28.1875|	my,	6.5625|	mz,	-24.5625
3.823641300201416:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
3.8642168045043945:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
3.90433669090271:	stepper;	1
3.908522129058838:	blue_led;	118
3.9131689071655273:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
3.95328950881958:	stepper;	4
3.9574427604675293:	blue_led;	255
3.96211576461792:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.0110697746276855:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.059939622879028:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.108934640884399:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.157764196395874:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.206696271896362:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.255601406097412:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.304468154907227:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.353504419326782:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.402374505996704:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.451298236846924:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.4715492725372314:	blue_led;	0
4.491921901702881:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.532549619674683:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.573136806488037:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.613723516464233:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.654326438903809:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.695989370346069:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.73664927482605:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.777271032333374:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
