6.3066558837890625:	state;	angle,	0.782838713064|	x,	-71.42087334483016|	vx,	-0.396070506748|	ang v,	-0.243283516861|	vy,	-0.399116999438|	y,	42.42736005547331
6.310407400131226:	imu;	yaw,	6.151195049285889
6.335681676864624:	imu;	yaw,	6.147922992706299
6.336265802383423:	encoder;	counts,	-6
6.336931467056274:	imu;	yaw,	6.140286445617676
6.3386619091033936:	servo;	6
6.351730585098267:	imu;	yaw,	6.135923385620117
6.362315893173218:	imu;	yaw,	6.132651329040527
6.3700761795043945:	state;	angle,	0.760203472496|	x,	-71.42087528170286|	vx,	-0.510137720468|	ang v,	-0.0282295677863|	vy,	-0.480172070474|	y,	42.427362607141696
6.371537208557129:	imu;	yaw,	6.1282877922058105
6.399412155151367:	imu;	yaw,	6.125014781951904
6.4003307819366455:	imu;	yaw,	6.1217427253723145
6.403647422790527:	imu;	yaw,	6.118469715118408
6.413896799087524:	imu;	yaw,	6.115197658538818
6.420016527175903:	imu;	yaw,	6.11083459854126
6.4324867725372314:	state;	angle,	0.734990624327|	x,	-71.42087664193149|	vx,	-0.740900666342|	ang v,	-0.00791309314362|	vy,	-0.71093300174|	y,	42.42736408974495
6.43469500541687:	encoder;	counts,	-7
6.438104629516602:	imu;	yaw,	6.102107524871826
6.462959051132202:	gps;	long,	-71.4209213256836|	lat,	42.42750549316406
6.46356201171875:	imu;	yaw,	6.098834991455078
6.464282274246216:	imu;	yaw,	6.095562934875488
6.473537445068359:	imu;	yaw,	6.092289924621582
6.4856672286987305:	imu;	yaw,	6.089017868041992
6.4938952922821045:	imu;	yaw,	6.085744857788086
6.5029003620147705:	imu;	yaw,	6.082472801208496
6.5144569873809814:	imu;	yaw,	6.07919979095459
6.520028829574585:	imu;	yaw,	6.075927734375
6.528108596801758:	encoder;	counts,	-8
6.530189514160156:	state;	angle,	0.714895079013|	x,	-71.42087923885806|	vx,	-0.273881290359|	ang v,	-0.0269286275736|	vy,	-0.234864320572|	y,	42.42736761149236
6.535367012023926:	imu;	yaw,	6.073746204376221
6.560821771621704:	imu;	yaw,	6.0704731941223145
6.561556577682495:	imu;	yaw,	6.067201137542725
6.566907167434692:	imu;	yaw,	6.065019607543945
6.570807933807373:	imu;	yaw,	6.062837600708008
6.585944414138794:	imu;	yaw,	6.0606560707092285
6.587586879730225:	state;	angle,	0.694324724179|	x,	-71.42088121485129|	vx,	-0.541320164092|	ang v,	-0.0777730703968|	vy,	-0.441904374932|	y,	42.42737008697722
6.592358827590942:	imu;	yaw,	6.058474540710449
6.615504741668701:	servo;	5
6.62058424949646:	imu;	yaw,	6.056292533874512
6.62131404876709:	imu;	yaw,	6.053020000457764
6.621886968612671:	imu;	yaw,	6.050837993621826
6.623870134353638:	servo;	4
6.630527973175049:	servo;	3
6.632957220077515:	encoder;	counts,	-9
6.63846230506897:	servo;	1
6.641066074371338:	imu;	yaw,	6.047565937042236
6.64436149597168:	servo;	0
6.652116298675537:	state;	angle,	0.696185196018|	x,	-71.42088308775247|	vx,	-0.595384237978|	ang v,	0.0988233411187|	vy,	-0.484677427135|	y,	42.42737236217485
6.655821323394775:	gps;	long,	-71.4209213256836|	lat,	42.42750549316406
6.6590375900268555:	imu;	yaw,	6.038839340209961
6.680469989776611:	imu;	yaw,	6.035567283630371
6.685326337814331:	imu;	yaw,	6.032294273376465
6.688974618911743:	servo;	-2
6.691132307052612:	imu;	yaw,	6.029022216796875
6.694442272186279:	servo;	-3
6.699731349945068:	servo;	-4
6.707104444503784:	servo;	-5
6.708850860595703:	imu;	yaw,	6.026840686798096
6.712465286254883:	servo;	-7
6.7138895988464355:	encoder;	counts,	-10
