5.70036244392395:	encoder;	counts,	-9
5.708264589309692:	imu;	yaw,	-5.772676467895508
5.714639663696289:	imu;	yaw,	-5.769404411315918
5.723282814025879:	imu;	yaw,	-5.765040874481201
5.728172063827515:	state;	ang v,	0.479648288204|	vy,	-0.415871017568|	y,	42.42744743353461|	x,	-71.42088181799318|	vx,	-0.685192749901|	angle,	0.604669860494
5.733954906463623:	imu;	yaw,	-5.761768341064453
5.769680023193359:	imu;	yaw,	-5.758496284484863
5.770331859588623:	imu;	yaw,	-5.756314277648926
5.770756244659424:	imu;	yaw,	-5.753041744232178
5.774046421051025:	imu;	yaw,	-5.74976921081543
5.783339738845825:	imu;	yaw,	-5.74758768081665
5.791513204574585:	encoder;	counts,	-10
5.7968909740448:	imu;	yaw,	-5.744315147399902
5.802150249481201:	state;	ang v,	0.258567005739|	vy,	-0.41311412722|	y,	42.42745077164283|	x,	-71.42088310114643|	vx,	-0.565163345086|	angle,	0.685868762506
5.806159019470215:	gps;	long,	-71.42089080810547|	lat,	42.4276123046875
5.811325550079346:	imu;	yaw,	-5.742133140563965
5.8388917446136475:	imu;	yaw,	-5.7399516105651855
5.839548349380493:	imu;	yaw,	-5.736679553985596
5.839982271194458:	imu;	yaw,	-5.734497547149658
5.8537468910217285:	imu;	yaw,	-5.73122501373291
5.865627288818359:	state;	ang v,	0.190418510411|	vy,	-0.701854381417|	y,	42.4274544606868|	x,	-71.4208842934785|	vx,	-0.853895813744|	angle,	0.76044833078
5.867359399795532:	imu;	yaw,	-5.729043006896973
5.8720433712005615:	imu;	yaw,	-5.726861476898193
5.902959108352661:	encoder;	counts,	-11
5.904699325561523:	imu;	yaw,	-5.724679946899414
5.913115501403809:	imu;	yaw,	-5.720316410064697
5.913925647735596:	imu;	yaw,	-5.718134880065918
5.924913644790649:	imu;	yaw,	-5.717044353485107
5.942145586013794:	state;	ang v,	0.139770042063|	vy,	-0.270103510366|	y,	42.427458066563496|	x,	-71.42088545882375|	vx,	-0.272782098509|	angle,	0.827964601702
5.945478677749634:	imu;	yaw,	-5.714862823486328
5.970203399658203:	imu;	yaw,	-5.713771343231201
5.971718072891235:	encoder;	counts,	-12
5.9728477001190186:	imu;	yaw,	-5.710499286651611
5.983001947402954:	imu;	yaw,	-5.707226753234863
6.000236988067627:	state;	ang v,	0.109524016894|	vy,	-0.591315071894|	y,	42.42746140076944|	x,	-71.42088650706263|	vx,	-0.52426435169|	angle,	0.8896554235
6.002546072006226:	gps;	long,	-71.42089080810547|	lat,	42.4276123046875
6.007101058959961:	imu;	yaw,	-5.706136226654053
6.008026361465454:	imu;	yaw,	-5.703954219818115
6.036831855773926:	imu;	yaw,	-5.701772689819336
6.03777551651001:	imu;	yaw,	-5.69849967956543
6.0427398681640625:	encoder;	counts,	-13
6.045719385147095:	imu;	yaw,	-5.694136619567871
6.069119453430176:	state;	ang v,	0.149435198834|	vy,	-0.605325738716|	y,	42.427466319054965|	x,	-71.4208877491947|	vx,	-0.456187023862|	angle,	0.964975592167
6.071670770645142:	imu;	yaw,	-5.691955089569092
