7.827820539474487:	imu;	yaw,	3.7415497303009033
7.837841987609863:	imu;	yaw,	3.742640495300293
7.844473838806152:	encoder;	counts,	-12
7.848370552062988:	imu;	yaw,	3.7437312602996826
7.8582799434661865:	imu;	yaw,	3.7448222637176514
7.863703966140747:	altitude;	altitude,	73.87004852294922
7.867446422576904:	imu;	yaw,	3.745913028717041
7.878397703170776:	imu;	yaw,	3.7470037937164307
7.895262002944946:	altitude;	altitude,	73.93082427978516
7.922390937805176:	encoder;	counts,	-13
7.927546262741089:	imu;	yaw,	3.7480947971343994
7.9344871044158936:	altitude;	altitude,	73.85684204101562
7.937994956970215:	imu;	yaw,	3.7502763271331787
7.949954986572266:	imu;	yaw,	3.7513670921325684
7.958306789398193:	imu;	yaw,	3.7535488605499268
7.969007730484009:	imu;	yaw,	3.7546396255493164
7.979436635971069:	imu;	yaw,	3.756821393966675
7.985263109207153:	altitude;	altitude,	74.04972839355469
7.988744497299194:	imu;	yaw,	3.7579121589660645
7.995649099349976:	encoder;	counts,	-14
7.999032020568848:	imu;	yaw,	3.759002923965454
8.009841442108154:	imu;	yaw,	3.760093927383423
8.019937515258789:	imu;	yaw,	3.762275457382202
8.029375314712524:	imu;	yaw,	3.7644572257995605
8.038794994354248:	imu;	yaw,	3.7677297592163086
8.043455600738525:	altitude;	altitude,	73.9123306274414
8.049184083938599:	imu;	yaw,	3.769911289215088
8.059369802474976:	imu;	yaw,	3.773183822631836
8.063568592071533:	encoder;	counts,	-15
8.067497730255127:	imu;	yaw,	3.776456356048584
8.079505205154419:	imu;	yaw,	3.7786381244659424
8.089776277542114:	imu;	yaw,	3.7819104194641113
8.10598111152649:	altitude;	altitude,	73.89647674560547
8.108395099639893:	imu;	yaw,	3.78300142288208
8.112262725830078:	imu;	yaw,	3.7851829528808594
8.118218898773193:	imu;	yaw,	3.7873647212982178
8.128263235092163:	imu;	yaw,	3.789546489715576
8.133927583694458:	encoder;	counts,	-16
8.137274980545044:	servo;	12
8.139991998672485:	imu;	yaw,	3.7917280197143555
8.14330768585205:	servo;	13
