2.6299638748168945:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.630341053009033:	yaw;	yaw,	-5.112724304199219
2.7563889026641846:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.756777286529541:	yaw;	yaw,	-5.114905834197998
2.8516829013824463:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.8522632122039795:	yaw;	yaw,	-5.115996837615967
2.902080774307251:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.9025461673736572:	encoder;	counts,	9
2.9515225887298584:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.951923370361328:	yaw;	yaw,	-5.117087364196777
2.989868402481079:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.990386486053467:	yaw;	yaw,	-5.119269371032715
3.0484750270843506:	servo;	-13
3.0791537761688232:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
3.0796456336975098:	yaw;	yaw,	-5.120359897613525
3.081470012664795:	servo;	-11
3.101661205291748:	servo;	-10
3.1237757205963135:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
3.1242053508758545:	gps;	long,	-71.42083740234375|	lat,	42.42731475830078|	fix,	True
3.131054639816284:	servo;	0
3.178800344467163:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
3.179297685623169:	yaw;	yaw,	-5.121450901031494
3.25752592086792:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
3.258218765258789:	encoder;	counts,	10
3.3063714504241943:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
3.306745767593384:	yaw;	yaw,	-5.123632431030273
3.331530809402466:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
3.3321051597595215:	yaw;	yaw,	-5.125813961029053
3.3366103172302246:	servo;	-10
3.346451759338379:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
3.347123861312866:	yaw;	yaw,	-5.129086494445801
3.3640036582946777:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
3.3643887042999268:	yaw;	yaw,	-5.131268501281738
3.3717947006225586:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
3.3722054958343506:	yaw;	yaw,	-5.133449554443359
