3.4060299396514893:	state;	x,	-71.42084689747345|	x m,	-0.604004035674|	vy,	-0.0769733905305|	angle,	4.34791457353|	vx,	-0.0766660908519|	ang v,	0.0518049408883|	y m,	1.28307598771|	y,	42.42730692346496
3.4065122604370117:	yaw;	yaw,	-5.38652229309082
3.41908860206604:	blue_led;	52
3.4265763759613037:	motors;	20
3.436950922012329:	blue_led;	0
3.440757989883423:	state;	x,	-71.42084689747345|	x m,	-0.604004035674|	vy,	-0.0769733905305|	angle,	4.34791457353|	vx,	-0.0766660908519|	ang v,	0.0518049408883|	y m,	1.28307598771|	y,	42.42730692346496
3.4413845539093018:	yaw;	yaw,	-5.38543176651001
3.4430489540100098:	motors;	0
3.450082302093506:	blue_led;	51
3.4636802673339844:	motors;	20
3.4704723358154297:	blue_led;	56
3.471688985824585:	state;	x,	-71.42084689747345|	x m,	-0.604004035674|	vy,	-0.0769733905305|	angle,	4.34791457353|	vx,	-0.0766660908519|	ang v,	0.0518049408883|	y m,	1.28307598771|	y,	42.42730692346496
3.472130537033081:	yaw;	yaw,	-5.384340763092041
3.4761037826538086:	motors;	22
3.4815144538879395:	blue_led;	64
3.4922473430633545:	motors;	25
3.499103546142578:	blue_led;	76
3.506368398666382:	motors;	30
3.525083541870117:	state;	x,	-71.42084468309135|	x m,	-0.388128154135|	vy,	-0.227486581731|	angle,	4.35882998829|	vx,	-0.165383332891|	ang v,	0.0641240075288|	y m,	1.46487649632|	y,	42.42730886433546
3.5258450508117676:	yaw;	yaw,	-5.38543176651001
3.529352903366089:	blue_led;	97
3.53477144241333:	motors;	38
3.544962167739868:	state;	x,	-71.42084468309135|	x m,	-0.388128154135|	vy,	-0.227486581731|	angle,	4.35882998829|	vx,	-0.165383332891|	ang v,	0.0641240075288|	y m,	1.46487649632|	y,	42.42730886433546
3.5460965633392334:	gps;	long,	-71.42081451416016|	lat,	42.427345275878906|	fix,	True
3.553009033203125:	blue_led;	104
3.5601940155029297:	motors;	40
3.569692611694336:	blue_led;	109
3.573547601699829:	state;	x,	-71.42084468309135|	x m,	-0.388128154135|	vy,	-0.227486581731|	angle,	4.35882998829|	vx,	-0.165383332891|	ang v,	0.0641240075288|	y m,	1.46487649632|	y,	42.42730886433546
3.574174642562866:	yaw;	yaw,	-5.383249759674072
3.582545042037964:	motors;	42
3.587395429611206:	blue_led;	110
3.596608877182007:	motors;	43
3.6071133613586426:	state;	x,	-71.42084468309135|	x m,	-0.388128154135|	vy,	-0.227486581731|	angle,	4.35882998829|	vx,	-0.165383332891|	ang v,	0.0641240075288|	y m,	1.46487649632|	y,	42.42730886433546
3.6084821224212646:	encoder;	counts,	2
3.6283600330352783:	state;	x,	-71.42084468309135|	x m,	-0.388128154135|	vy,	-0.227486581731|	angle,	4.35882998829|	vx,	-0.165383332891|	ang v,	0.0641240075288|	y m,	1.46487649632|	y,	42.42730886433546
3.628711700439453:	yaw;	yaw,	-5.382159233093262
3.6419997215270996:	blue_led;	111
3.6471073627471924:	state;	x,	-71.42084468309135|	x m,	-0.388128154135|	vy,	-0.227486581731|	angle,	4.35882998829|	vx,	-0.165383332891|	ang v,	0.0641240075288|	y m,	1.46487649632|	y,	42.42730886433546
3.6481499671936035:	yaw;	yaw,	-5.381068229675293
3.6687731742858887:	state;	x,	-71.42084468309135|	x m,	-0.388128154135|	vy,	-0.227486581731|	angle,	4.35882998829|	vx,	-0.165383332891|	ang v,	0.0641240075288|	y m,	1.46487649632|	y,	42.42730886433546
3.6697611808776855:	yaw;	yaw,	-5.379977226257324
3.702810287475586:	state;	x,	-71.42084468309135|	x m,	-0.388128154135|	vy,	-0.227486581731|	angle,	4.35882998829|	vx,	-0.165383332891|	ang v,	0.0641240075288|	y m,	1.46487649632|	y,	42.42730886433546
3.703432321548462:	yaw;	yaw,	-5.378886699676514
3.7156386375427246:	blue_led;	110
3.7254278659820557:	state;	x,	-71.42084468309135|	x m,	-0.388128154135|	vy,	-0.227486581731|	angle,	4.35882998829|	vx,	-0.165383332891|	ang v,	0.0641240075288|	y m,	1.46487649632|	y,	42.42730886433546
3.725926399230957:	yaw;	yaw,	-5.377795696258545
3.7338709831237793:	state;	x,	-71.42084468309135|	x m,	-0.388128154135|	vy,	-0.227486581731|	angle,	4.35882998829|	vx,	-0.165383332891|	ang v,	0.0641240075288|	y m,	1.46487649632|	y,	42.42730886433546
3.734593391418457:	yaw;	yaw,	-5.376704692840576
3.7468295097351074:	state;	x,	-71.42084468309135|	x m,	-0.388128154135|	vy,	-0.227486581731|	angle,	4.35882998829|	vx,	-0.165383332891|	ang v,	0.0641240075288|	y m,	1.46487649632|	y,	42.42730886433546
3.747260093688965:	yaw;	yaw,	-5.375614166259766
3.7497689723968506:	blue_led;	111
3.769721269607544:	state;	x,	-71.42084468309135|	x m,	-0.388128154135|	vy,	-0.227486581731|	angle,	4.35882998829|	vx,	-0.165383332891|	ang v,	0.0641240075288|	y m,	1.46487649632|	y,	42.42730886433546
3.770190954208374:	yaw;	yaw,	-5.374523162841797
3.785940170288086:	blue_led;	110
3.8053014278411865:	blue_led;	97
3.8209962844848633:	motors;	38
3.8372607231140137:	blue_led;	87
3.8478667736053467:	motors;	34
3.8565378189086914:	state;	x,	-71.42084468309135|	x m,	-0.388128154135|	vy,	-0.227486581731|	angle,	4.35882998829|	vx,	-0.165383332891|	ang v,	0.0641240075288|	y m,	1.46487649632|	y,	42.42730886433546
3.8571321964263916:	yaw;	yaw,	-5.373432636260986
3.8646087646484375:	blue_led;	72
3.8778016567230225:	motors;	28
3.883009433746338:	blue_led;	66
3.885878801345825:	state;	x,	-71.42083897745162|	x m,	0.154687184198|	vy,	-0.100809571301|	angle,	4.39591524844|	vx,	-0.0342392711899|	ang v,	0.123578256301|	y m,	1.93330879074|	y,	42.42731374461306
3.8862218856811523:	yaw;	yaw,	-5.372342109680176
3.8903045654296875:	state;	x,	-71.42083897745162|	x m,	0.154687184198|	vy,	-0.100809571301|	angle,	4.39591524844|	vx,	-0.0342392711899|	ang v,	0.123578256301|	y m,	1.93330879074|	y,	42.42731374461306
3.890728712081909:	yaw;	yaw,	-5.371251106262207
3.8950748443603516:	motors;	25
3.897308349609375:	state;	x,	-71.42083897745162|	x m,	0.154687184198|	vy,	-0.100809571301|	angle,	4.39591524844|	vx,	-0.0342392711899|	ang v,	0.123578256301|	y m,	1.93330879074|	y,	42.42731374461306
3.8977067470550537:	yaw;	yaw,	-5.370160102844238
3.910853385925293:	blue_led;	55
3.9191958904266357:	state;	x,	-71.42083897745162|	x m,	0.154687184198|	vy,	-0.100809571301|	angle,	4.39591524844|	vx,	-0.0342392711899|	ang v,	0.123578256301|	y m,	1.93330879074|	y,	42.42731374461306
3.9196434020996094:	gps;	long,	-71.42081451416016|	lat,	42.427345275878906|	fix,	True
3.9250991344451904:	state;	x,	-71.42083897745162|	x m,	0.154687184198|	vy,	-0.100809571301|	angle,	4.39591524844|	vx,	-0.0342392711899|	ang v,	0.123578256301|	y m,	1.93330879074|	y,	42.42731374461306
3.925879716873169:	encoder;	counts,	3
3.927680492401123:	motors;	21
