4.596898794174194:	blue_led;	92
4.603886127471924:	motors;	36
4.609102964401245:	state;	y,	42.427304529281756|	x m,	-0.870300244479|	angle,	4.31734152404|	vy,	-0.0841213729232|	ang v,	0.000844038023517|	x,	-71.42085228614542|	y m,	0.840666581649|	vx,	-0.0840891529412
4.609791278839111:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
4.6125147342681885:	blue_led;	104
4.619024276733398:	motors;	40
4.626441717147827:	blue_led;	103
4.652733564376831:	state;	y,	42.42730500158738|	x m,	-0.81776743573|	angle,	4.32062504925|	vy,	-0.13642229612|	ang v,	0.0377395650752|	x,	-71.42085220108113|	y m,	0.847650344252|	vx,	-0.136417715846
4.653144836425781:	yaw;	yaw,	-5.269803524017334
4.663607835769653:	blue_led;	102
4.676764726638794:	state;	y,	42.42730500158738|	x m,	-0.81776743573|	angle,	4.32062504925|	vy,	-0.13642229612|	ang v,	0.0377395650752|	x,	-71.42085220108113|	y m,	0.847650344252|	vx,	-0.136417715846
4.6771559715271:	yaw;	yaw,	-5.268712520599365
4.713346242904663:	state;	y,	42.42730500158738|	x m,	-0.81776743573|	angle,	4.32062504925|	vy,	-0.13642229612|	ang v,	0.0377395650752|	x,	-71.42085220108113|	y m,	0.847650344252|	vx,	-0.136417715846
4.714165687561035:	yaw;	yaw,	-5.267621994018555
4.738089561462402:	blue_led;	103
4.776201009750366:	state;	y,	42.427305371972|	x m,	-0.776570925495|	angle,	4.3217436866|	vy,	-0.145343550803|	ang v,	0.0212162993753|	x,	-71.42085222113015|	y m,	0.8460043183|	vx,	-0.145342899688
4.776707410812378:	yaw;	yaw,	-5.268712520599365
4.81812596321106:	state;	y,	42.427305371972|	x m,	-0.776570925495|	angle,	4.3217436866|	vy,	-0.145343550803|	ang v,	0.0212162993753|	x,	-71.42085222113015|	y m,	0.8460043183|	vx,	-0.145342899688
4.818702459335327:	yaw;	yaw,	-5.267621994018555
4.865422964096069:	blue_led;	102
