3.9660422801971436:	imu;	yaw,	-4.5803985595703125
3.971651792526245:	encoder;	counts,	38
3.9762537479400635:	imu;	yaw,	-4.582580089569092
3.9973580837249756:	imu;	yaw,	-4.5836710929870605
4.00271201133728:	altitude;	altitude,	73.99159240722656
4.006922960281372:	imu;	yaw,	-4.584762096405029
4.018272638320923:	imu;	yaw,	-4.586943626403809
4.024190187454224:	encoder;	counts,	39
4.027638673782349:	imu;	yaw,	-4.590216159820557
4.037551641464233:	imu;	yaw,	-4.592397689819336
4.046119928359985:	imu;	yaw,	-4.594579219818115
4.056211948394775:	imu;	yaw,	-4.597851753234863
4.062279224395752:	altitude;	altitude,	74.09200286865234
4.066478729248047:	imu;	yaw,	-4.601124286651611
4.077928066253662:	imu;	yaw,	-4.604396820068359
4.087213754653931:	imu;	yaw,	-4.608760356903076
4.0925633907318115:	encoder;	counts,	40
4.098010540008545:	imu;	yaw,	-4.612032890319824
4.106978416442871:	altitude;	altitude,	74.05765533447266
4.1131720542907715:	imu;	yaw,	-4.6142144203186035
4.117737531661987:	imu;	yaw,	-4.616395950317383
4.137137413024902:	imu;	yaw,	-4.617486953735352
4.143367052078247:	altitude;	altitude,	73.94403839111328
4.148243188858032:	encoder;	counts,	41
4.151299476623535:	servo;	-14
4.15428614616394:	imu;	yaw,	-4.61857795715332
4.163262844085693:	servo;	-13
4.167889595031738:	imu;	yaw,	-4.619668483734131
4.169936895370483:	servo;	-12
4.176098108291626:	servo;	-11
4.1875669956207275:	imu;	yaw,	-4.62185001373291
4.197138071060181:	altitude;	altitude,	74.12635040283203
4.202234983444214:	imu;	yaw,	-4.624032020568848
4.204818964004517:	encoder;	counts,	42
4.2100419998168945:	imu;	yaw,	-4.622941017150879
4.217909336090088:	imu;	yaw,	-4.62185001373291
4.228843927383423:	imu;	yaw,	-4.624032020568848
4.238704204559326:	imu;	yaw,	-4.627304553985596
4.245671510696411:	altitude;	altitude,	74.09200286865234
4.2509989738464355:	imu;	yaw,	-4.629486083984375
4.25756311416626:	encoder;	counts,	43
4.263719320297241:	imu;	yaw,	-4.631667613983154
4.267520904541016:	imu;	yaw,	-4.634940147399902
4.2778778076171875:	imu;	yaw,	-4.636031150817871
4.287663459777832:	imu;	yaw,	-4.63821268081665
4.300286054611206:	altitude;	altitude,	74.07086181640625
4.304453372955322:	imu;	yaw,	-4.64039421081543
4.312096834182739:	encoder;	counts,	44
4.320258617401123:	servo;	-10
4.326888084411621:	servo;	-9
4.330715179443359:	imu;	yaw,	-4.642576217651367
4.339366912841797:	servo;	-8
4.34382700920105:	altitude;	altitude,	73.80399322509766
4.347028493881226:	servo;	-7
4.348341703414917:	imu;	yaw,	-4.643666744232178
4.359206676483154:	imu;	yaw,	-4.642576217651367
4.359954357147217:	servo;	-6
4.365405321121216:	imu;	yaw,	-4.643666744232178
4.370258092880249:	encoder;	counts,	45
4.3761887550354:	imu;	yaw,	-4.6447577476501465
4.379161596298218:	imu;	yaw,	-4.646939277648926
4.388106107711792:	servo;	-5
4.3896098136901855:	imu;	yaw,	-4.649121284484863
4.3944902420043945:	servo;	-4
4.398450613021851:	imu;	yaw,	-4.652393341064453
4.401082277297974:	servo;	-3
4.41317892074585:	imu;	yaw,	-4.653483867645264
4.4205405712127686:	imu;	yaw,	-4.656756401062012
4.425223350524902:	altitude;	altitude,	73.59525299072266
4.428912878036499:	imu;	yaw,	-4.658938407897949
4.435021877288818:	encoder;	counts,	46
4.4387688636779785:	imu;	yaw,	-4.66002893447876
4.448806047439575:	imu;	yaw,	-4.6611199378967285
4.458867073059082:	imu;	yaw,	-4.663301467895508
4.469782590866089:	imu;	yaw,	-4.664392471313477
4.4796974658966064:	servo;	-4
4.481607437133789:	altitude;	altitude,	73.92289733886719
4.490984201431274:	encoder;	counts,	47
4.491800785064697:	servo;	-5
4.496615648269653:	imu;	yaw,	-4.663301467895508
4.499243974685669:	servo;	-6
4.504275321960449:	servo;	-7
4.509687423706055:	imu;	yaw,	-4.6611199378967285
4.52006983757019:	imu;	yaw,	-4.66002893447876
4.530503749847412:	imu;	yaw,	-4.658938407897949
4.538215398788452:	altitude;	altitude,	73.79871368408203
4.54532790184021:	imu;	yaw,	-4.6578474044799805
4.549849510192871:	encoder;	counts,	48
4.55282735824585:	imu;	yaw,	-4.653483867645264
4.5610878467559814:	imu;	yaw,	-4.651302337646484
4.570122480392456:	imu;	yaw,	-4.650211811065674
4.579338073730469:	imu;	yaw,	-4.6480302810668945
4.5897369384765625:	altitude;	altitude,	73.93875122070312
4.591706037521362:	servo;	-8
4.596773862838745:	imu;	yaw,	-4.645848751068115
4.6022467613220215:	encoder;	counts,	49
4.6093385219573975:	imu;	yaw,	-4.642576217651367
4.620295524597168:	servo;	-7
4.626332998275757:	servo;	-8
4.632532835006714:	servo;	-7
4.640277624130249:	servo;	-8
4.7234015464782715:	servo;	-7
4.739917039871216:	servo;	-8
4.755878925323486:	servo;	-9
4.800076246261597:	gps;	found,	12|	long,	-71.42086791992188|	lat,	42.42729187011719|	altitude,	89.80000305175781
4.803599834442139:	encoder;	counts,	52
4.8114049434661865:	imu;	yaw,	-4.634940147399902
4.814813137054443:	encoder;	counts,	53
4.831925392150879:	imu;	yaw,	-4.633849620819092
4.844200372695923:	altitude;	altitude,	73.72208404541016
4.862259864807129:	imu;	yaw,	-4.632758617401123
4.86438250541687:	imu;	yaw,	-4.630577087402344
4.868452072143555:	encoder;	counts,	54
4.872419834136963:	imu;	yaw,	-4.628395080566406
4.881515026092529:	imu;	yaw,	-4.627304553985596
4.892946720123291:	altitude;	altitude,	73.80399322509766
4.902090787887573:	imu;	yaw,	-4.626213550567627
4.9201648235321045:	encoder;	counts,	55
4.932035446166992:	imu;	yaw,	-4.625122547149658
4.936796426773071:	altitude;	altitude,	73.8885498046875
4.943500518798828:	imu;	yaw,	-4.626213550567627
4.95293927192688:	imu;	yaw,	-4.628395080566406
4.964150667190552:	imu;	yaw,	-4.629486083984375
4.975983619689941:	encoder;	counts,	56
4.982974529266357:	imu;	yaw,	-4.631667613983154
4.9885828495025635:	altitude;	altitude,	73.95989227294922
4.9932541847229:	imu;	yaw,	-4.633849620819092
5.002132892608643:	imu;	yaw,	-4.632758617401123
5.012242078781128:	imu;	yaw,	-4.631667613983154
5.02563214302063:	imu;	yaw,	-4.630577087402344
5.032144546508789:	encoder;	counts,	57
5.041612148284912:	altitude;	altitude,	74.04180145263672
5.052501440048218:	imu;	yaw,	-4.631667613983154
5.072402000427246:	imu;	yaw,	-4.633849620819092
5.079914808273315:	altitude;	altitude,	74.06558227539062
5.085515260696411:	imu;	yaw,	-4.634940147399902
5.092210054397583:	encoder;	counts,	58
5.1133739948272705:	imu;	yaw,	-4.633849620819092
5.126368045806885:	altitude;	altitude,	73.84626770019531
5.143866062164307:	encoder;	counts,	59
5.150732040405273:	imu;	yaw,	-4.636031150817871
5.1535704135894775:	imu;	yaw,	-4.63712215423584
5.165646076202393:	altitude;	altitude,	73.8674087524414
5.17403244972229:	imu;	yaw,	-4.636031150817871
5.184144496917725:	imu;	yaw,	-4.634940147399902
5.19455099105835:	imu;	yaw,	-4.633849620819092
5.1986939907073975:	encoder;	counts,	60
5.209608316421509:	imu;	yaw,	-4.631667613983154
5.213469505310059:	imu;	yaw,	-4.628395080566406
