4.6365673542022705:	servo;	0
4.660379886627197:	imu;	yaw,	5.017821788787842
4.66361927986145:	imu;	yaw,	5.016730785369873
4.676323175430298:	encoder;	counts,	53
4.689583778381348:	imu;	yaw,	5.009095191955566
4.699494123458862:	imu;	yaw,	4.999277591705322
4.726305961608887:	imu;	yaw,	4.994914531707764
4.726996421813965:	imu;	yaw,	4.989460468292236
4.731390953063965:	encoder;	counts,	54
4.739783048629761:	imu;	yaw,	4.979642868041992
4.749199151992798:	imu;	yaw,	4.976370334625244
4.758509635925293:	imu;	yaw,	4.972006797790527
4.772349834442139:	altitude;	altitude,	-19.80648422241211
4.779882907867432:	imu;	yaw,	4.961098670959473
4.790912866592407:	encoder;	counts,	55
4.799482583999634:	servo;	-6
4.800939559936523:	imu;	yaw,	4.954553604125977
4.8078696727752686:	servo;	-4
4.810933351516724:	imu;	yaw,	4.955644607543945
4.832650661468506:	servo;	-2
4.838059663772583:	imu;	yaw,	4.956735134124756
4.838504791259766:	imu;	yaw,	4.957826137542725
4.840267658233643:	servo;	0
4.964022874832153:	servo;	-1
4.997264623641968:	gps;	lat,	42.42734146118164|	long,	-71.42084503173828|	altitude,	0.0|	found,	13
5.003820180892944:	servo;	-2
5.023420572280884:	encoder;	counts,	58
5.023874759674072:	imu;	yaw,	4.938190937042236
5.0266478061676025:	servo;	-1
5.0333075523376465:	servo;	-2
5.038886547088623:	encoder;	counts,	59
5.041300058364868:	servo;	-1
5.0479044914245605:	servo;	-2
5.04908299446106:	imu;	yaw,	4.940372943878174
5.077701091766357:	servo;	-1
5.08144474029541:	imu;	yaw,	4.939281940460205
5.0836005210876465:	servo;	-2
5.085118293762207:	encoder;	counts,	60
5.092634201049805:	imu;	yaw,	4.936009407043457
5.105897903442383:	imu;	yaw,	4.937100410461426
5.111928701400757:	servo;	-1
5.114996433258057:	imu;	yaw,	4.936009407043457
5.143061876296997:	imu;	yaw,	4.934918403625488
5.143954753875732:	encoder;	counts,	61
5.145375490188599:	servo;	-2
5.152885913848877:	imu;	yaw,	4.932736873626709
5.155293941497803:	servo;	-3
5.164970397949219:	imu;	yaw,	4.93055534362793
5.1660614013671875:	servo;	-4
5.183768272399902:	altitude;	altitude,	-20.678436279296875
5.223315238952637:	imu;	yaw,	4.93164587020874
5.224310636520386:	encoder;	counts,	62
5.22624659538269:	servo;	-3
5.229858636856079:	imu;	yaw,	4.929464340209961
5.232275009155273:	servo;	0
5.242480039596558:	imu;	yaw,	4.928373336791992
5.254029750823975:	imu;	yaw,	4.927282810211182
5.284296035766602:	servo;	1
5.285975217819214:	encoder;	counts,	63
5.286507606506348:	imu;	yaw,	4.926191806793213
5.289689540863037:	servo;	13
5.293060541152954:	altitude;	altitude,	-22.522743225097656
5.2964255809783936:	imu;	yaw,	4.922919273376465
5.3060338497161865:	servo;	14
5.312006711959839:	imu;	yaw,	4.924010276794434
5.31325888633728:	servo;	15
5.342394590377808:	encoder;	counts,	64
5.343200206756592:	imu;	yaw,	4.921828746795654
5.357844591140747:	imu;	yaw,	4.919646739959717
