10.60935115814209:	imu;	yaw,	6.230825424194336
10.615864276885986:	imu;	yaw,	6.227553367614746
10.629432678222656:	imu;	yaw,	6.223189830780029
10.637407779693604:	imu;	yaw,	6.217735290527344
10.665045976638794:	imu;	yaw,	6.213372230529785
10.665949583053589:	imu;	yaw,	6.210100173950195
10.66873836517334:	altitude;	altitude,	-11.94307804107666
10.678083419799805:	imu;	yaw,	6.207918167114258
10.6880042552948:	imu;	yaw,	6.2057366371154785
10.698627710342407:	encoder;	counts,	-2
10.72193431854248:	imu;	yaw,	6.198100566864014
10.722615242004395:	imu;	yaw,	6.194828510284424
10.73000431060791:	imu;	yaw,	6.191555500030518
10.731230974197388:	servo;	-21
10.745341539382935:	imu;	yaw,	6.187191963195801
10.751160144805908:	servo;	-20
10.759519815444946:	imu;	yaw,	6.183919906616211
10.793269157409668:	imu;	yaw,	6.177374839782715
10.794502019882202:	imu;	yaw,	6.173011779785156
10.799009323120117:	imu;	yaw,	6.1686482429504395
10.806835174560547:	imu;	yaw,	6.167557239532471
10.812697887420654:	encoder;	counts,	-3
10.82382345199585:	imu;	yaw,	6.158830642700195
10.845638275146484:	servo;	-18
10.851249933242798:	imu;	yaw,	6.155558109283447
10.851704359054565:	imu;	yaw,	6.151195049285889
10.857917785644531:	servo;	-16
10.859625577926636:	imu;	yaw,	6.143559455871582
10.868188381195068:	servo;	-14
10.871538162231445:	imu;	yaw,	6.1315598487854
10.880497217178345:	servo;	-3
10.909834861755371:	motors;	0
10.914564609527588:	imu;	yaw,	6.122833251953125
10.91535472869873:	imu;	yaw,	6.11192512512207
10.917203903198242:	servo;	0
10.919704914093018:	altitude;	altitude,	-11.869094848632812
10.924941062927246:	imu;	yaw,	6.105380058288574
10.936259746551514:	encoder;	counts,	-4
10.970560550689697:	imu;	yaw,	6.097744464874268
10.971150398254395:	imu;	yaw,	6.094471454620361
10.983473539352417:	imu;	yaw,	6.090108394622803
10.985779285430908:	imu;	yaw,	6.085744857788086
10.990310668945312:	imu;	yaw,	6.081381797790527
11.028367280960083:	imu;	yaw,	6.075927734375
11.031675100326538:	imu;	yaw,	6.074836730957031
11.032191276550293:	imu;	yaw,	6.075927734375
11.049790143966675:	altitude;	altitude,	-11.895517349243164
11.057147026062012:	imu;	yaw,	6.0770182609558105
11.08052110671997:	imu;	yaw,	6.078109264373779
11.081562519073486:	encoder;	counts,	-5
11.08929991722107:	imu;	yaw,	6.080291271209717
11.102189302444458:	imu;	yaw,	6.07919979095459
11.118388175964355:	imu;	yaw,	6.078109264373779
11.147385597229004:	imu;	yaw,	6.07919979095459
11.16126275062561:	altitude;	altitude,	-11.95364761352539
11.173705339431763:	imu;	yaw,	6.080291271209717
11.175909519195557:	motors;	100
11.183444261550903:	imu;	yaw,	6.081381797790527
11.21810245513916:	imu;	yaw,	6.083563327789307
11.219021558761597:	imu;	yaw,	6.085744857788086
11.22400975227356:	imu;	yaw,	6.086835861206055
11.229085206985474:	imu;	yaw,	6.087926387786865
11.232664346694946:	servo;	1
11.261331558227539:	imu;	yaw,	6.085744857788086
11.264448881149292:	servo;	4
11.26720929145813:	altitude;	altitude,	-12.075191497802734
11.275672197341919:	imu;	yaw,	6.087926387786865
11.276317358016968:	servo;	6
11.286254167556763:	servo;	13
11.308513879776001:	servo;	18
11.311948537826538:	imu;	yaw,	6.090108394622803
11.318559885025024:	imu;	yaw,	6.089017868041992
11.328700065612793:	encoder;	counts,	-4
11.329510927200317:	servo;	19
11.339570999145508:	servo;	20
11.3412184715271:	imu;	yaw,	6.085744857788086
11.371196508407593:	imu;	yaw,	6.084654331207275
11.376776218414307:	servo;	21
11.378678560256958:	altitude;	altitude,	-11.906085968017578
11.383871793746948:	servo;	22
11.38991928100586:	imu;	yaw,	6.082472801208496
11.403827905654907:	imu;	yaw,	6.080291271209717
11.543624877929688:	gps;	lat,	42.42749786376953|	long,	-71.42088317871094|	altitude,	0.0|	found,	13
11.548321723937988:	encoder;	counts,	-3
11.550652027130127:	servo;	13
11.559514284133911:	imu;	yaw,	6.058474540710449
11.562154531478882:	servo;	9
11.584999561309814:	imu;	yaw,	6.053020000457764
11.586019039154053:	servo;	0
11.588376760482788:	imu;	yaw,	6.050837993621826
11.598389387130737:	imu;	yaw,	6.048656463623047
11.608854532241821:	imu;	yaw,	6.047565937042236
11.622725248336792:	imu;	yaw,	6.045384407043457
11.649469375610352:	imu;	yaw,	6.043202877044678
11.650140285491943:	encoder;	counts,	-2
11.653008222579956:	imu;	yaw,	6.029022216796875
11.655879020690918:	motors;	0
11.663615226745605:	imu;	yaw,	6.025749206542969
11.676136255264282:	imu;	yaw,	6.0235676765441895
11.688528776168823:	imu;	yaw,	6.019204139709473
11.699856042861938:	imu;	yaw,	6.015932083129883
11.71140742301941:	imu;	yaw,	6.012659549713135
11.738626718521118:	imu;	yaw,	6.008296012878418
11.739093780517578:	imu;	yaw,	6.006114482879639
11.744116067886353:	imu;	yaw,	6.002842426300049
11.74986457824707:	imu;	yaw,	6.000660419464111
11.761554718017578:	imu;	yaw,	5.997387886047363
11.783503532409668:	altitude;	altitude,	-11.773972511291504
11.789623022079468:	imu;	yaw,	5.989752292633057
11.79587459564209:	encoder;	counts,	-1
11.804261445999146:	imu;	yaw,	5.982116222381592
11.813133955001831:	imu;	yaw,	5.978843688964844
11.849743366241455:	imu;	yaw,	5.981025695800781
11.855107545852661:	imu;	yaw,	5.982116222381592
11.85792589187622:	imu;	yaw,	5.9832072257995605
11.86445426940918:	imu;	yaw,	5.984297752380371
11.897591352462769:	altitude;	altitude,	-11.657712936401367
11.898162126541138:	imu;	yaw,	5.9832072257995605
11.912841320037842:	servo;	-1
11.91472339630127:	imu;	yaw,	5.982116222381592
11.924846172332764:	imu;	yaw,	5.981025695800781
11.945022106170654:	imu;	yaw,	5.979934215545654
11.960567474365234:	altitude;	altitude,	-12.29714298248291
11.986979007720947:	imu;	yaw,	5.981025695800781
11.989319324493408:	imu;	yaw,	5.979934215545654
11.996913194656372:	encoder;	counts,	0
12.004300594329834:	imu;	yaw,	5.978843688964844
12.04257345199585:	altitude;	altitude,	-11.99592399597168
12.070503234863281:	altitude;	altitude,	-11.969500541687012
12.102280616760254:	imu;	yaw,	5.977752685546875
12.117925643920898:	altitude;	altitude,	-12.112183570861816
12.126964330673218:	imu;	yaw,	5.9766621589660645
12.162325382232666:	imu;	yaw,	5.975571155548096
12.171093702316284:	altitude;	altitude,	-11.826818466186523
12.216593503952026:	imu;	yaw,	5.9766621589660645
12.217610597610474:	altitude;	altitude,	-11.921939849853516
12.23628854751587:	imu;	yaw,	5.977752685546875
12.249701738357544:	altitude;	altitude,	-11.895517349243164
12.279106616973877:	imu;	yaw,	5.978843688964844
12.290272951126099:	imu;	yaw,	5.977752685546875
12.301116228103638:	altitude;	altitude,	-11.83210277557373
12.34197211265564:	altitude;	altitude,	-11.964216232299805
12.376832723617554:	altitude;	altitude,	-11.853240966796875
12.525070190429688:	gps;	lat,	42.42749786376953|	long,	-71.42088317871094|	altitude,	0.0|	found,	13
12.548526287078857:	altitude;	altitude,	-12.032915115356445
12.591365098953247:	altitude;	altitude,	-11.853240966796875
12.639812707901001:	altitude;	altitude,	-12.006492614746094
12.756675481796265:	motors;	-100
12.818937540054321:	servo;	-2
12.877779245376587:	servo;	-3
12.888052225112915:	servo;	-4
12.916040658950806:	servo;	-7
12.927801609039307:	servo;	-9
12.937889337539673:	servo;	-17
12.972234964370728:	servo;	-16
13.00026822090149:	servo;	-17
13.018634796142578:	servo;	-18
13.025150775909424:	servo;	-19
13.031203031539917:	servo;	-20
13.03790283203125:	servo;	-21
13.049405813217163:	servo;	-23
13.05478572845459:	servo;	-24
13.060508728027344:	servo;	-22
13.071223020553589:	servo;	-16
13.086109161376953:	servo;	-7
13.096309661865234:	servo;	0
13.101919412612915:	motors;	0
13.57555341720581:	motors;	100
13.692151308059692:	servo;	5
13.728705883026123:	servo;	11
13.742215633392334:	servo;	13
13.753113746643066:	servo;	16
13.871190071105957:	servo;	15
13.875975370407104:	servo;	13
13.889841079711914:	servo;	11
13.896966934204102:	servo;	6
13.904061079025269:	servo;	4
13.912829875946045:	servo;	0
13.94705843925476:	servo;	-1
13.958668231964111:	servo;	-2
13.970558643341064:	servo;	-4
14.023179769515991:	servo;	-3
14.02913522720337:	motors;	0
14.033857822418213:	servo;	-2
14.077424764633179:	servo;	-1
14.087114334106445:	servo;	-2
14.118652582168579:	servo;	-1
14.12868618965149:	servo;	-2
14.133805990219116:	servo;	-1
14.154366254806519:	servo;	-2
14.2022385597229:	servo;	-1
14.213944435119629:	servo;	-2
14.24032187461853:	servo;	-1
14.245460033416748:	servo;	-2
14.276732683181763:	servo;	-1
14.312585830688477:	servo;	-2
14.351578712463379:	servo;	-3
14.38082218170166:	servo;	-4
14.386651992797852:	motors;	-100
14.39169454574585:	servo;	-7
14.405806541442871:	servo;	-11
14.44391393661499:	servo;	-14
14.45536470413208:	servo;	-16
14.467787504196167:	servo;	-21
14.479459047317505:	servo;	-23
14.509328365325928:	servo;	-24
14.857779502868652:	servo;	-23
14.925129652023315:	servo;	0
14.929874658584595:	motors;	100
14.942186117172241:	motors;	0
14.948712348937988:	servo;	-1
15.331979036331177:	motors;	100
15.367185831069946:	servo;	0
15.458317756652832:	servo;	1
15.468470811843872:	servo;	7
15.496978998184204:	servo;	13
15.568021297454834:	servo;	5
15.609901905059814:	servo;	0
15.631324768066406:	servo;	-1
15.656925201416016:	servo;	-2
15.6868577003479:	motors;	0
15.80200457572937:	servo;	-1
15.811840534210205:	servo;	-2
15.818473100662231:	servo;	-1
15.861211776733398:	servo;	-2
15.910500288009644:	encoder;	counts,	3
15.91173267364502:	imu;	yaw,	5.8381266593933105
15.91661024093628:	imu;	yaw,	5.837035655975342
15.930129051208496:	imu;	yaw,	5.8381266593933105
15.943444728851318:	altitude;	altitude,	-11.784542083740234
15.981289148330688:	imu;	yaw,	5.84030818939209
15.983882665634155:	imu;	yaw,	5.8413987159729
15.99482774734497:	servo;	-1
15.997472524642944:	altitude;	altitude,	-12.080476760864258
16.02499508857727:	servo;	-2
16.029693841934204:	imu;	yaw,	5.84030818939209
16.033281803131104:	imu;	yaw,	5.839217185974121
16.051608085632324:	altitude;	altitude,	-11.927224159240723
16.06084132194519:	imu;	yaw,	5.8381266593933105
16.089777946472168:	imu;	yaw,	5.837035655975342
16.093342542648315:	imu;	yaw,	5.835945129394531
16.107348680496216:	altitude;	altitude,	-12.154459953308105
16.118863582611084:	imu;	yaw,	5.834853649139404
16.1448974609375:	imu;	yaw,	5.835945129394531
16.15506076812744:	altitude;	altitude,	-11.964216232299805
16.178104162216187:	encoder;	counts,	4
16.20191216468811:	imu;	yaw,	5.834853649139404
16.21234703063965:	altitude;	altitude,	-11.694704055786133
16.221206426620483:	imu;	yaw,	5.833763122558594
16.248775005340576:	imu;	yaw,	5.832672119140625
16.257421493530273:	altitude;	altitude,	-11.75283432006836
16.2588632106781:	servo;	-1
16.273624181747437:	servo;	-2
16.27856683731079:	servo;	-1
16.302444219589233:	altitude;	altitude,	-11.911371231079102
16.303762674331665:	servo;	-2
16.338480949401855:	altitude;	altitude,	-11.837387084960938
16.363959312438965:	imu;	yaw,	5.8315815925598145
16.38310742378235:	imu;	yaw,	5.832672119140625
16.406442880630493:	altitude;	altitude,	-12.091045379638672
16.462658405303955:	servo;	-1
16.46807360649109:	servo;	-2
16.475288152694702:	servo;	-3
16.485999822616577:	servo;	-4
16.49076533317566:	motors;	-100
16.49572491645813:	servo;	-7
16.52428436279297:	servo;	-9
16.527623891830444:	gps;	lat,	42.42750549316406|	long,	-71.42088317871094|	altitude,	0.0|	found,	13
16.536129236221313:	servo;	-16
16.538766384124756:	imu;	yaw,	5.833763122558594
16.558565616607666:	servo;	-24
16.621455192565918:	altitude;	altitude,	-12.091045379638672
16.637014627456665:	imu;	yaw,	5.834853649139404
16.6429660320282:	imu;	yaw,	5.839217185974121
16.653300523757935:	imu;	yaw,	5.8413987159729
16.674041032791138:	imu;	yaw,	5.842490196228027
16.68478536605835:	altitude;	altitude,	-12.06462287902832
16.69652485847473:	imu;	yaw,	5.844671726226807
16.705629110336304:	imu;	yaw,	5.84358024597168
16.730658292770386:	imu;	yaw,	5.842490196228027
16.73853611946106:	encoder;	counts,	3
16.768792629241943:	imu;	yaw,	5.8413987159729
16.769225597381592:	imu;	yaw,	5.839217185974121
16.780224561691284:	imu;	yaw,	5.837035655975342
16.78568458557129:	altitude;	altitude,	-12.06462287902832
16.792951107025146:	imu;	yaw,	5.834853649139404
16.815948963165283:	imu;	yaw,	5.832672119140625
