5.769256591796875:	imu;	yaw,	5.013458251953125
5.769777297973633:	imu;	yaw,	5.012367248535156
5.781137943267822:	encoder;	counts,	51
5.787755250930786:	imu;	yaw,	5.011276721954346
5.797693252563477:	imu;	yaw,	5.009095191955566
5.8075995445251465:	imu;	yaw,	5.008004188537598
5.829894304275513:	imu;	yaw,	5.005822658538818
5.830362558364868:	altitude;	altitude,	-19.315021514892578
5.842028379440308:	imu;	yaw,	5.00255012512207
5.848260402679443:	encoder;	counts,	52
5.8796021938323975:	imu;	yaw,	5.004732131958008
5.880086421966553:	imu;	yaw,	5.003641128540039
5.886579751968384:	imu;	yaw,	5.00255012512207
5.896362781524658:	imu;	yaw,	5.00145959854126
5.906161308288574:	encoder;	counts,	53
5.937824726104736:	altitude;	altitude,	-19.346729278564453
5.938315391540527:	imu;	yaw,	5.00255012512207
5.944484233856201:	imu;	yaw,	5.003641128540039
5.952899217605591:	imu;	yaw,	5.004732131958008
5.961177349090576:	encoder;	counts,	54
5.976566791534424:	imu;	yaw,	5.006913661956787
6.004849910736084:	imu;	yaw,	5.005822658538818
6.007449388504028:	imu;	yaw,	5.008004188537598
6.030941009521484:	servo;	-11
6.103840351104736:	servo;	-12
6.15837025642395:	gps;	lat,	42.42736053466797|	long,	-71.42084503173828|	altitude,	0.0|	found,	12
6.158916473388672:	encoder;	counts,	57
6.16575813293457:	altitude;	altitude,	-19.595104217529297
6.169000625610352:	imu;	yaw,	5.014549255371094
6.185122489929199:	encoder;	counts,	58
6.2147979736328125:	altitude;	altitude,	-19.62152671813965
6.2650604248046875:	encoder;	counts,	59
6.266258716583252:	altitude;	altitude,	-19.880468368530273
6.274890184402466:	imu;	yaw,	5.015639781951904
6.278131008148193:	imu;	yaw,	5.016730785369873
6.2885966300964355:	imu;	yaw,	5.017821788787842
6.315851449966431:	imu;	yaw,	5.020003318786621
6.31670880317688:	encoder;	counts,	60
6.32372522354126:	imu;	yaw,	5.02436637878418
6.327478647232056:	imu;	yaw,	5.02109432220459
6.340657949447632:	imu;	yaw,	5.020003318786621
6.377985239028931:	altitude;	altitude,	-19.822338104248047
6.378991603851318:	encoder;	counts,	61
6.390954971313477:	imu;	yaw,	5.017821788787842
6.398422956466675:	imu;	yaw,	5.016730785369873
6.407591104507446:	imu;	yaw,	5.020003318786621
6.440770149230957:	encoder;	counts,	62
6.4413182735443115:	imu;	yaw,	5.02436637878418
6.44169545173645:	imu;	yaw,	5.023275852203369
6.454234600067139:	altitude;	altitude,	-19.82762336730957
6.465225696563721:	imu;	yaw,	5.025457382202148
6.493634462356567:	encoder;	counts,	63
6.506559610366821:	imu;	yaw,	5.02436637878418
6.512604236602783:	imu;	yaw,	5.023275852203369
6.522705316543579:	servo;	-11
6.5238001346588135:	altitude;	altitude,	-19.642663955688477
6.536848783493042:	imu;	yaw,	5.0221848487854
6.546538591384888:	encoder;	counts,	64
6.555715799331665:	imu;	yaw,	5.02436637878418
6.587180852890015:	imu;	yaw,	5.025457382202148
6.587731122970581:	encoder;	counts,	65
6.589211702346802:	servo;	-10
6.59614372253418:	imu;	yaw,	5.027638912200928
6.599555253982544:	servo;	-9
6.607885360717773:	imu;	yaw,	5.0287299156188965
6.611863136291504:	servo;	-8
6.635426759719849:	imu;	yaw,	5.033093452453613
6.638038873672485:	imu;	yaw,	5.036365985870361
6.643876552581787:	imu;	yaw,	5.037456512451172
6.657531023025513:	encoder;	counts,	66
6.668151378631592:	imu;	yaw,	5.041820049285889
6.67666482925415:	imu;	yaw,	5.04072904586792
6.699890851974487:	imu;	yaw,	5.039638042449951
6.700557470321655:	imu;	yaw,	5.038547515869141
6.708320617675781:	encoder;	counts,	67
6.719594478607178:	imu;	yaw,	5.037456512451172
6.748479127883911:	altitude;	altitude,	-19.51055145263672
6.749040365219116:	imu;	yaw,	5.034183979034424
6.756289958953857:	imu;	yaw,	5.035274982452393
6.761126518249512:	imu;	yaw,	5.038547515869141
6.773826837539673:	encoder;	counts,	68
6.780415058135986:	imu;	yaw,	5.039638042449951
6.804114818572998:	altitude;	altitude,	-19.743070602416992
6.837240695953369:	encoder;	counts,	69
6.837775468826294:	imu;	yaw,	5.038547515869141
6.8419389724731445:	imu;	yaw,	5.037456512451172
6.849429607391357:	imu;	yaw,	5.035274982452393
6.880822420120239:	imu;	yaw,	5.0320024490356445
6.8839757442474365:	imu;	yaw,	5.029820919036865
6.884767293930054:	encoder;	counts,	70
6.897540807723999:	imu;	yaw,	5.030911445617676
6.903476238250732:	imu;	yaw,	5.034183979034424
6.91300106048584:	imu;	yaw,	5.035274982452393
6.922170639038086:	imu;	yaw,	5.036365985870361
6.9501447677612305:	imu;	yaw,	5.037456512451172
6.950835704803467:	encoder;	counts,	71
6.951390504837036:	imu;	yaw,	5.039638042449951
6.973089694976807:	altitude;	altitude,	-19.44713592529297
6.982038259506226:	imu;	yaw,	5.041820049285889
6.990461826324463:	imu;	yaw,	5.044001579284668
