2.915457010269165:	servo;	-4
2.921262502670288:	servo;	-13
2.9228515625:	altitude;	altitude,	-23.003637313842773
2.928140163421631:	servo;	-21
2.9331376552581787:	servo;	-24
2.9384260177612305:	imu;	yaw,	0.003272492438554764
2.9391000270843506:	motors;	-100
2.9659276008605957:	altitude;	altitude,	-23.030059814453125
2.9754583835601807:	imu;	yaw,	0.0021816615480929613
2.9877126216888428:	imu;	yaw,	0.0010908307740464807
2.992244005203247:	motors;	0
2.997516393661499:	imu;	yaw,	0.0
3.0011157989501953:	motors;	100
3.008230447769165:	servo;	-16
3.011002540588379:	imu;	yaw,	6.282094478607178
3.0161423683166504:	servo;	5
3.0191292762756348:	imu;	yaw,	6.281003952026367
3.0259768962860107:	servo;	19
3.0310845375061035:	servo;	24
3.0324950218200684:	altitude;	altitude,	-23.056482315063477
3.0483295917510986:	imu;	yaw,	6.27991247177124
3.0679097175598145:	altitude;	altitude,	-23.008920669555664
3.0729727745056152:	imu;	yaw,	6.27882194519043
3.0887725353240967:	imu;	yaw,	6.277731895446777
3.110076904296875:	altitude;	altitude,	-23.114612579345703
3.113776445388794:	imu;	yaw,	6.27882194519043
3.133497714996338:	altitude;	altitude,	-23.267864227294922
3.1380512714385986:	imu;	yaw,	6.27991247177124
3.149547815322876:	imu;	yaw,	6.281003952026367
3.159681558609009:	imu;	yaw,	6.282094478607178
3.168999195098877:	imu;	yaw,	0.0
3.176391124725342:	servo;	23
3.1784298419952393:	altitude;	altitude,	-23.24144172668457
3.182539701461792:	servo;	9
3.1872599124908447:	motors;	0
3.1936964988708496:	servo;	-1
3.198601245880127:	servo;	-12
3.204646110534668:	servo;	-22
3.209733486175537:	servo;	-24
3.2122862339019775:	imu;	yaw,	6.282094478607178
3.2167043685913086:	motors;	-100
3.2233598232269287:	motors;	0
3.227221727371216:	altitude;	altitude,	-23.104042053222656
3.2600882053375244:	imu;	yaw,	6.281003952026367
3.2660393714904785:	altitude;	altitude,	-22.84510040283203
3.269021511077881:	motors;	100
3.276455879211426:	servo;	-23
3.2809572219848633:	imu;	yaw,	6.27991247177124
3.28898286819458:	servo;	-14
3.3036909103393555:	altitude;	altitude,	-22.919084548950195
3.3128912448883057:	servo;	9
3.324807643890381:	servo;	24
3.3270130157470703:	altitude;	altitude,	-23.22030258178711
3.3452165126800537:	imu;	yaw,	6.27882194519043
3.367154359817505:	altitude;	altitude,	-23.030059814453125
3.392841339111328:	altitude;	altitude,	-23.17274284362793
3.420515298843384:	altitude;	altitude,	-23.082904815673828
3.4319348335266113:	imu;	yaw,	6.281003952026367
3.4412264823913574:	imu;	yaw,	6.282094478607178
3.4511148929595947:	imu;	yaw,	0.0
3.4627342224121094:	imu;	yaw,	0.0010908307740464807
3.4729716777801514:	altitude;	altitude,	-23.162172317504883
3.4754860401153564:	imu;	yaw,	0.0021816615480929613
3.4803948402404785:	imu;	yaw,	0.003272492438554764
3.50693416595459:	altitude;	altitude,	-23.22030258178711
3.5291738510131836:	altitude;	altitude,	-23.320709228515625
3.5619699954986572:	altitude;	altitude,	-23.225587844848633
3.580517530441284:	servo;	-4
3.5842719078063965:	altitude;	altitude,	-23.225587844848633
3.585163116455078:	motors;	0
3.591242551803589:	servo;	2
3.597109079360962:	servo;	-5
3.6029715538024902:	servo;	0
3.6087987422943115:	servo;	-3
3.6290087699890137:	altitude;	altitude,	-23.167457580566406
3.6323659420013428:	servo;	0
3.641981601715088:	imu;	yaw,	0.0021816615480929613
3.6520299911499023:	imu;	yaw,	0.0010908307740464807
3.6633355617523193:	imu;	yaw,	0.0
3.6729817390441895:	imu;	yaw,	6.282094478607178
3.678501844406128:	altitude;	altitude,	-22.92965316772461
3.6973092555999756:	imu;	yaw,	6.281003952026367
3.715775966644287:	altitude;	altitude,	-22.977214813232422
3.742532730102539:	altitude;	altitude,	-23.014205932617188
3.7724967002868652:	altitude;	altitude,	-23.125181198120117
3.7962799072265625:	altitude;	altitude,	-23.125181198120117
3.8223626613616943:	altitude;	altitude,	-23.114612579345703
3.853560447692871:	altitude;	altitude,	-23.257295608520508
3.8837549686431885:	altitude;	altitude,	-22.903230667114258
3.915335178375244:	altitude;	altitude,	-22.993066787719727
3.9454879760742188:	altitude;	altitude,	-23.014205932617188
3.973963975906372:	altitude;	altitude,	-23.014205932617188
4.005417346954346:	altitude;	altitude,	-23.252010345458984
4.03839373588562:	altitude;	altitude,	-23.093473434448242
4.068179607391357:	altitude;	altitude,	-23.188594818115234
4.097095727920532:	altitude;	altitude,	-23.114612579345703
4.12604022026062:	altitude;	altitude,	-23.156888961791992
4.156281232833862:	altitude;	altitude,	-23.257295608520508
4.187986373901367:	altitude;	altitude,	-23.257295608520508
4.218058347702026:	altitude;	altitude,	-23.019489288330078
