1.471837043762207:	imu;	yaw,	1.4791666269302368
1.4755244255065918:	imu;	yaw,	1.4791666269302368
1.4805116653442383:	imu;	yaw,	1.4791666269302368
1.484253168106079:	imu;	yaw,	1.4791666269302368
1.4899070262908936:	servo;	0
1.4909148216247559:	imu;	yaw,	1.4791666269302368
1.4963979721069336:	imu;	yaw,	1.4791666269302368
1.5093214511871338:	imu;	yaw,	1.4791666269302368
1.512237310409546:	altitude;	altitude,	69.2090835571289
1.5172128677368164:	imu;	yaw,	1.4791666269302368
1.5178911685943604:	servo;	0
1.520782709121704:	imu;	yaw,	1.4791666269302368
1.5259978771209717:	servo;	0
1.5275702476501465:	encoder;	counts,	4
1.5317351818084717:	servo;	0
1.535400152206421:	imu;	yaw,	1.4791666269302368
1.5377681255340576:	servo;	0
1.5431911945343018:	imu;	yaw,	1.4791666269302368
1.5491604804992676:	imu;	yaw,	1.4791666269302368
1.5545876026153564:	imu;	yaw,	1.4791666269302368
1.5592660903930664:	imu;	yaw,	1.4791666269302368
1.5653316974639893:	servo;	0
1.5731854438781738:	imu;	yaw,	1.4606225490570068
1.5736136436462402:	imu;	yaw,	1.4606225490570068
1.5766751766204834:	imu;	yaw,	1.4606225490570068
1.579991340637207:	imu;	yaw,	1.4606225490570068
1.5862197875976562:	imu;	yaw,	1.4606225490570068
1.590142011642456:	imu;	yaw,	1.4606225490570068
1.5969464778900146:	imu;	yaw,	1.4606225490570068
1.6017394065856934:	imu;	yaw,	1.4606225490570068
1.602365493774414:	servo;	0
1.6075358390808105:	encoder;	counts,	9
1.6132214069366455:	imu;	yaw,	1.4606225490570068
1.6185307502746582:	imu;	yaw,	1.4606225490570068
1.6219005584716797:	imu;	yaw,	1.4606225490570068
1.6270709037780762:	imu;	yaw,	1.4606225490570068
1.6312172412872314:	imu;	yaw,	1.4606225490570068
1.635951042175293:	altitude;	altitude,	69.56578826904297
1.6402497291564941:	imu;	yaw,	1.4606225490570068
1.6419787406921387:	servo;	0
1.6455612182617188:	imu;	yaw,	1.4606225490570068
1.6530060768127441:	imu;	yaw,	1.4606225490570068
1.6587469577789307:	imu;	yaw,	1.4606225490570068
1.663318157196045:	imu;	yaw,	1.4606225490570068
1.6671762466430664:	imu;	yaw,	1.4606225490570068
1.6735224723815918:	imu;	yaw,	1.4606225490570068
1.6772503852844238:	imu;	yaw,	1.4606225490570068
1.6813242435455322:	imu;	yaw,	1.4606225490570068
1.686368465423584:	imu;	yaw,	1.4606225490570068
1.690028190612793:	encoder;	counts,	9
1.697361946105957:	imu;	yaw,	1.4606225490570068
1.7018661499023438:	servo;	0
1.7136476039886475:	servo;	0
1.72210693359375:	servo;	0
1.7618341445922852:	servo;	0
1.7898938655853271:	servo;	0
1.7982330322265625:	servo;	0
1.8063466548919678:	servo;	0
1.8106751441955566:	gps;	lat,	42.42729568481445|	long,	-71.42086791992188|	altitude,	82.80000305175781|	found,	12
1.8151874542236328:	encoder;	counts,	9
1.8230912685394287:	imu;	yaw,	1.4606225490570068
1.8269014358520508:	imu;	yaw,	1.4606225490570068
1.832258701324463:	imu;	yaw,	1.4606225490570068
1.837177038192749:	imu;	yaw,	1.4606225490570068
1.8412258625030518:	imu;	yaw,	1.4606225490570068
1.846505880355835:	encoder;	counts,	9
1.8528225421905518:	imu;	yaw,	1.4606225490570068
1.8571016788482666:	imu;	yaw,	1.4606225490570068
1.862346887588501:	imu;	yaw,	1.4606225490570068
1.8672075271606445:	imu;	yaw,	1.4606225490570068
1.8726437091827393:	altitude;	altitude,	69.56578826904297
1.8769769668579102:	imu;	yaw,	1.4606225490570068
1.881007432937622:	imu;	yaw,	1.4606225490570068
1.884993314743042:	imu;	yaw,	1.4606225490570068
1.8918323516845703:	imu;	yaw,	1.4606225490570068
1.8985226154327393:	imu;	yaw,	1.4606225490570068
1.9017717838287354:	imu;	yaw,	1.4606225490570068
1.9094221591949463:	imu;	yaw,	1.4606225490570068
1.9132559299468994:	imu;	yaw,	1.4606225490570068
1.9190564155578613:	encoder;	counts,	9
1.9230725765228271:	imu;	yaw,	1.4606225490570068
1.9285094738006592:	imu;	yaw,	1.4606225490570068
1.9313232898712158:	imu;	yaw,	1.4606225490570068
1.938892126083374:	imu;	yaw,	1.4606225490570068
1.9430460929870605:	imu;	yaw,	1.4606225490570068
1.950524091720581:	imu;	yaw,	1.4606225490570068
1.9540009498596191:	imu;	yaw,	1.4606225490570068
1.973639726638794:	imu;	yaw,	1.43771493434906
1.974294900894165:	imu;	yaw,	1.43771493434906
1.977210283279419:	imu;	yaw,	1.43771493434906
1.9787147045135498:	imu;	yaw,	1.43771493434906
1.9830389022827148:	imu;	yaw,	1.43771493434906
1.987746238708496:	encoder;	counts,	14
1.9926350116729736:	altitude;	altitude,	69.39139556884766
1.997831106185913:	servo;	0
1.9990084171295166:	imu;	yaw,	1.43771493434906
2.004356622695923:	imu;	yaw,	1.43771493434906
2.0104715824127197:	servo;	0
2.01350998878479:	imu;	yaw,	1.43771493434906
2.0184080600738525:	imu;	yaw,	1.43771493434906
2.0189168453216553:	servo;	0
2.023754119873047:	imu;	yaw,	1.43771493434906
2.0303454399108887:	imu;	yaw,	1.43771493434906
2.0312752723693848:	servo;	0
2.0339245796203613:	imu;	yaw,	1.43771493434906
2.041654348373413:	imu;	yaw,	1.43771493434906
2.042078733444214:	servo;	0
2.048402786254883:	imu;	yaw,	1.43771493434906
2.0557234287261963:	encoder;	counts,	14
