1.4431087970733643:	servo;	0
1.44722318649292:	imu;	yaw,	0.03163409233093262
1.448197603225708:	motors;	0
1.4553983211517334:	servo;	0
1.455535888671875:	imu;	yaw,	0.03163409233093262
1.4623568058013916:	motors;	0
1.4625682830810547:	imu;	yaw,	0.029452431946992874
1.465207815170288:	servo;	0
1.4698610305786133:	imu;	yaw,	0.028361601755023003
1.4710075855255127:	motors;	0
1.4771699905395508:	servo;	0
1.4773063659667969:	imu;	yaw,	0.028361601755023003
1.4811506271362305:	motors;	0
1.4838612079620361:	imu;	yaw,	0.028361601755023003
1.4864013195037842:	servo;	0
1.4902660846710205:	imu;	yaw,	0.027270769700407982
1.4911994934082031:	motors;	0
1.4968645572662354:	imu;	yaw,	0.02617993950843811
1.4981319904327393:	servo;	0
1.504871129989624:	motors;	0
1.5050113201141357:	imu;	yaw,	0.02617993950843811
1.5075535774230957:	servo;	0
1.511484146118164:	imu;	yaw,	0.02617993950843811
1.5124297142028809:	motors;	0
1.519263744354248:	servo;	0
1.519397497177124:	imu;	yaw,	0.02508910745382309
1.5252735614776611:	motors;	0
1.5254018306732178:	imu;	yaw,	0.02508910745382309
1.5320827960968018:	servo;	0
1.5322332382202148:	imu;	yaw,	0.02508910745382309
1.5347216129302979:	motors;	0
1.5387697219848633:	imu;	yaw,	0.02508910745382309
1.5399785041809082:	servo;	0
1.5446221828460693:	imu;	yaw,	0.02508910745382309
1.5455718040466309:	motors;	0
1.5521833896636963:	servo;	0
1.552307367324829:	imu;	yaw,	0.02508910745382309
1.554910659790039:	motors;	0
1.559187650680542:	imu;	yaw,	0.023998279124498367
1.5606958866119385:	servo;	0
1.5654492378234863:	imu;	yaw,	0.023998279124498367
1.5664324760437012:	motors;	0
1.573291301727295:	servo;	0
1.57342529296875:	imu;	yaw,	0.023998279124498367
1.575760841369629:	motors;	0
1.5782806873321533:	imu;	yaw,	0.023998279124498367
1.5804340839385986:	servo;	0
1.5857853889465332:	imu;	yaw,	0.023998279124498367
1.586803913116455:	motors;	80
