1.7437641620635986:	lidar;	168
1.7437841892242432:	lidar;	18	7
1.7468070983886719:	lidar;	101
1.7509121894836426:	lidar;	98
1.753852128982544:	lidar;	96
1.75480318069458:	lidar;	19	7
1.7578010559082031:	lidar;	93
1.762834072113037:	lidar;	86
1.7668471336364746:	lidar;	87
1.7708971500396729:	lidar;	86
1.7709109783172607:	lidar;	20	7
1.774827003479004:	lidar;	88
1.7788100242614746:	lidar;	90
1.7818009853363037:	lidar;	92
1.7828521728515625:	lidar;	21	7
1.7858741283416748:	lidar;	91
1.7898170948028564:	lidar;	87
1.8031871318817139:	lidar;	87
1.8032021522521973:	lidar;	22	7
1.8032090663909912:	lidar;	70
1.8032610416412354:	lidar;	66
1.8093039989471436:	lidar;	61
1.8118081092834473:	lidar;	44
1.8127961158752441:	lidar;	23	7
1.815803050994873:	lidar;	49
1.8228750228881836:	lidar;	54
1.826857089996338:	lidar;	52
1.8318591117858887:	lidar;	54
1.836893081665039:	lidar;	53
1.8398699760437012:	lidar;	57
1.8398830890655518:	lidar;	24	7
1.8428831100463867:	lidar;	55
1.8488891124725342:	lidar;	56
1.8568379878997803:	lidar;	232
1.8568501472473145:	lidar;	25	7
1.874763011932373:	lidar;	308
1.874833106994629:	lidar;	1
1.878803014755249:	lidar;	121
1.881805181503296:	lidar;	117
1.881870985031128:	lidar;	26	7
1.8878421783447266:	lidar;	105
1.8938570022583008:	lidar;	89
1.8988821506500244:	lidar;	118
1.9028611183166504:	lidar;	125
1.9068291187286377:	lidar;	127
1.9068381786346436:	lidar;	27	7
1.911851167678833:	lidar;	336
1.9178521633148193:	lidar;	510
1.9248971939086914:	lidar;	67
1.9352691173553467:	lidar;	74
1.9355580806732178:	lidar;	65
1.940392017364502:	lidar;	63
1.9438021183013916:	lidar;	59
1.9478280544281006:	lidar;	60
1.9478349685668945:	lidar;	28	7
1.951897144317627:	lidar;	381
1.9568321704864502:	lidar;	386
1.9628159999847412:	lidar;	301
1.966858148574829:	lidar;	220
1.9718611240386963:	lidar;	188
1.9718739986419678:	lidar;	29	7
1.9748501777648926:	lidar;	171
1.979884147644043:	lidar;	99
1.9848620891571045:	lidar;	98
1.9898731708526611:	lidar;	92
1.9992480278015137:	lidar;	88
2.005859136581421:	lidar;	87
2.005876064300537:	lidar;	30	7
2.005930185317993:	lidar;	85
2.006810188293457:	lidar;	86
2.009829044342041:	lidar;	87
2.0098400115966797:	lidar;	31	7
2.013813018798828:	lidar;	90
